Timestamp,X_Error,Y_Error
0.00604398,0.00109426,0.00019199
0.00694462,0.00109436,0.000193691
0.00794524,0.00109436,0.000193691
0.0115146,0.00109424,0.00019201
0.0119216,0.00109436,0.000193699
0.0129147,0.00109421,0.000192021
0.0140765,0.00109432,0.000193709
0.01514,0.00109424,0.000192012
0.0158757,0.00109425,0.000192009
0.0169407,0.00109436,0.0001937
0.018131,0.0010942,0.000192022
0.0188751,0.00109434,0.000193702
0.0198915,0.00109438,0.000194347
0.0209057,0.00109423,0.000192262
0.0218789,0.00109435,0.000193795
0.0228865,0.00109421,0.000192058
0.0239267,0.00109433,0.000193716
0.0248825,0.00109437,0.000194355
0.0259159,0.00109434,0.000194608
0.0268762,0.00109422,0.000192364
0.027908,0.00109435,0.000193833
0.0289722,0.00109422,0.000192066
0.0298722,0.00109433,0.000193722
0.0308925,0.00109418,0.000192034
0.0319044,0.00109432,0.000193708
0.032906,0.0010942,0.000192019
0.0339389,0.00109429,0.000193715
0.034875,0.00109422,0.000192016
0.0358748,0.00109431,0.000193707
0.0370694,0.0010942,0.000192018
0.037926,0.00109429,0.000193715
0.0388761,0.0010942,0.000192019
0.0399013,0.0010943,0.000193708
0.0408814,0.00109417,0.000192028
0.0418751,0.00109431,0.000193707
0.0428768,0.00109419,0.00019202
0.0438713,0.00109431,0.000193706
0.044883,0.0010942,0.000192019
0.0458791,0.00109429,0.000193709
0.0468799,0.00109418,0.000192021
0.0478881,0.00109429,0.000193709
0.0489624,0.00109418,0.000192021
0.049886,0.00109429,0.00019371
0.0508961,0.00109418,0.000192022
0.0519201,0.00109429,0.00019371
0.0529006,0.00109418,0.00019202
0.0539072,0.00109428,0.000193711
0.0548801,0.00109417,0.000192023
0.0558113,0.00109428,0.000193711
0.0568806,0.00109414,0.000192033
0.0578753,0.00109428,0.000193712
0.0589242,0.00109416,0.000192025
0.0598301,0.00109428,0.000193712
0.0608728,0.00109418,0.000192023
0.0618198,0.00109428,0.000193712
0.0628389,0.00109412,0.000192035
0.0638714,0.00109427,0.000193713
0.0648721,0.00109414,0.000192027
0.0659204,0.00109423,0.000193724
0.0668989,0.00109414,0.000192033
0.0678941,0.00109426,0.000193716
0.0689389,0.00109416,0.000192025
0.069871,0.00109427,0.000193714
0.0709182,0.00109414,0.000192027
0.0718376,0.00109423,0.000193725
0.0728138,0.00109415,0.000192027
0.0739097,0.00109424,0.000193717
0.0748657,0.00109416,0.000192025
0.0759753,0.00109426,0.000193716
0.0772093,0.00109413,0.000192029
0.0779599,0.00109425,0.000193717
0.0788725,0.00109414,0.000192028
0.0799164,0.00109423,0.000193719
0.0809366,0.00109414,0.000192028
0.0819295,0.00109425,0.000193717
0.0829483,0.00109412,0.00019203
0.0839966,0.00109424,0.000193719
0.0849861,0.00109411,0.000192038
0.0859243,0.00109414,0.00019203
0.0873989,0.00109409,0.000192039
0.0879023,0.00109423,0.00019372
0.0889541,0.00109412,0.00019203
0.0898731,0.0010942,0.000193729
0.0908741,0.00109411,0.000192032
0.0919317,0.00109419,0.000193731
0.0928416,0.00109409,0.00019204
0.0938322,0.00109421,0.000193723
0.0949654,0.00109411,0.000192032
0.0958875,0.00109422,0.000193721
0.0969007,0.00109408,0.000192043
0.0979069,0.00109417,0.000193733
0.0988722,0.0010941,0.000192035
0.0999191,0.0010942,0.000193725
0.100883,0.00109408,0.000192043
0.101879,0.00109421,0.000193723
0.10293,0.00109408,0.000192038
0.103825,0.00109427,0.000193746
0.104879,0.00109425,0.000192051
0.105892,0.00109435,0.000193744
0.106879,0.00109422,0.000192065
0.107815,0.00109438,0.000193743
0.108901,0.00109425,0.000192057
0.109842,0.00109433,0.000193754
0.110908,0.00109424,0.000192063
0.111879,0.00109435,0.000193747
0.112865,0.00109426,0.000192055
0.113904,0.00109434,0.000193754
0.114893,0.00109424,0.000192059
0.115863,0.00109436,0.000193746
0.116872,0.00109425,0.000192057
0.11788,0.00109434,0.000193748
0.118873,0.00109421,0.000192068
0.119913,0.00109432,0.000193756
0.120874,0.0010942,0.000192069
0.121907,0.00109434,0.000193749
0.122875,0.00109425,0.000192056
0.123844,0.00109435,0.000193747
0.124882,0.00109422,0.000192062
0.125893,0.0010943,0.000193759
0.126886,0.00109424,0.00019206
0.127924,0.00109432,0.000193751
0.128873,0.00109423,0.00019206
0.129828,0.00109434,0.000193749
0.130841,0.00109421,0.000192064
0.131871,0.0010943,0.00019376
0.132914,0.0010942,0.000192069
0.133829,0.00109428,0.000193762
0.135168,0.00109419,0.000192071
0.135924,0.00109429,0.000193761
0.136891,0.00109417,0.000192074
0.137912,0.00109432,0.000193752
0.138887,0.00109421,0.000192064
0.139895,0.00109429,0.000193761
0.140885,0.00109418,0.000192072
0.141869,0.0010943,0.000193755
0.142848,0.0010942,0.000192065
0.143945,0.00109433,0.000193752
0.144949,0.00109418,0.000192073
0.145998,0.0010943,0.000193756
0.146888,0.00109417,0.000192075
0.147938,0.00109413,0.000191429
0.14894,0.00109429,0.000193508
0.149934,0.00109423,0.000191961
0.150926,0.00109429,0.000193721
0.151877,0.0010942,0.000192052
0.15296,0.0010943,0.000193751
0.153945,0.00109418,0.000192067
0.154882,0.00109429,0.000193757
0.155938,0.00109416,0.000192076
0.156812,0.00109426,0.000193767
0.157842,0.00109417,0.000192069
0.1589,0.00109413,0.00019208
0.159893,0.00109415,0.000192079
0.160847,0.00109424,0.00019377
0.16188,0.00109416,0.000192072
0.162874,0.00109428,0.000193758
0.163875,0.00109415,0.000192079
0.164823,0.00109425,0.000193768
0.165887,0.00109416,0.000192072
0.166834,0.00109424,0.00019377
0.167886,0.00109414,0.000192079
0.1689,0.00109426,0.000193762
0.169877,0.00109413,0.00019208
0.170887,0.00109424,0.000193771
0.171901,0.00109428,0.000194416
0.172926,0.00109417,0.000192319
0.17396,0.00109428,0.000193855
0.174917,0.00109413,0.000192117
0.175878,0.00109426,0.000193777
0.176974,0.00109416,0.000192077
0.177927,0.00109424,0.000193773
0.178872,0.00109411,0.000192085
0.179907,0.00109425,0.000193765
0.180923,0.00109429,0.000194409
0.181892,0.00109418,0.000192318
0.182873,0.00109426,0.000193858
0.183907,0.00109415,0.00019211
0.184903,0.00109422,0.000193788
0.185898,0.00109421,0.000193788
0.186855,0.00109424,0.000193768
0.188025,0.00109428,0.000194411
0.188936,0.00109426,0.000194668
0.18997,0.00109411,0.000192428
0.190951,0.00109422,0.000193906
0.192154,0.00109414,0.000192126
0.193092,0.00109422,0.000193794
0.194006,0.00109409,0.000192094
0.194929,0.00109419,0.000193781
0.195939,0.00109413,0.000192078
0.196973,0.00109421,0.000193776
0.197916,0.00109409,0.000192088
0.198882,0.00109418,0.000193779
0.199873,0.00109409,0.000192088
0.200888,0.00109419,0.000193778
0.201883,0.00109408,0.000192089
0.20289,0.00109419,0.000193779
0.203962,0.00109408,0.000192089
0.204916,0.00109418,0.00019378
0.20597,0.00109408,0.00019209
0.206881,0.00109418,0.00019378
0.207875,0.00109407,0.00019209
