Timestamp,X_objerr,Y_objerr
0.0101397,0.00263296,0.000688062,0
0.0150111,0.00263295,0.000688066,0
0.0150868,0.00263294,0.000688068,0
0.0160441,0.00263297,0.000688057,0
0.0170395,0.00263293,0.000688069,0
0.0180478,0.00263296,0.000688059,0
0.019051,0.00263295,0.00068806,0
0.02004,0.00263295,0.00068806,0
0.0210785,0.00263291,0.000688073,0
0.0220428,0.00263294,0.000688062,0
0.023049,0.00263293,0.000688064,0
0.0240447,0.0026329,0.000688075,0
0.025064,0.00263292,0.000688066,0
0.0260492,0.00263292,0.000688066,0
0.0270772,0.00263291,0.000688067,0
0.0282695,0.00263288,0.000688078,0
0.0290665,0.00263291,0.000688069,0
0.0300696,0.0026329,0.000688069,0
0.0310621,0.00263287,0.000688082,0
0.0320811,0.00263289,0.000688071,0
0.0330988,0.00263289,0.000688073,0
0.0340448,0.00263285,0.000688084,0
0.0350691,0.00263288,0.000688074,0
0.0360667,0.00263287,0.000688075,0
0.0370457,0.00263284,0.000688087,0
0.0380836,0.00263283,0.000688087,0
0.0390617,0.00263286,0.000688078,0
0.0400463,0.00263285,0.000688078,0
0.0410645,0.00263282,0.00068809,0
0.0420527,0.00263284,0.00068808,0
0.0430544,0.00263284,0.000688082,0
0.0440421,0.0026328,0.000688092,0
0.0450572,0.00263283,0.000688083,0
0.0460522,0.00263283,0.000688083,0
0.047059,0.00263279,0.000688096,0
0.0480655,0.00263282,0.000688085,0
0.0490554,0.00263281,0.000688087,0
0.0500692,0.00263278,0.000688098,0
0.0510876,0.0026328,0.000688089,0
0.052066,0.0026328,0.000688089,0
0.0530449,0.00263276,0.000688101,0
0.0540454,0.00263279,0.00068809,0
0.0550511,0.00263278,0.000688092,0
0.0560826,0.00263278,0.000688092,0
0.057069,0.00263274,0.000688105,0
0.0580862,0.00263277,0.000688094,0
0.0591527,0.00263277,0.000688096,0
0.0601356,0.00263277,0.000688096,0
0.0610428,0.00263273,0.000688108,0
0.062071,0.00263275,0.000688097,0
0.0630929,0.00263272,0.00068811,0
0.0640559,0.00263274,0.000688099,0
0.0652944,0.00263274,0.000688101,0
