Timestamp,X_objerr,Y_objerr
0.0116624,6.0111e-05,0.00150391,0
0.0122929,6.0111e-05,0.00150391,0
0.0130386,6.01019e-05,0.00150391,0
0.0140869,6.01161e-05,0.0015039,0
0.0149435,6.01161e-05,0.0015039,0
0.0159706,6.0107e-05,0.0015039,0
0.016998,6.01023e-05,0.0015039,0
0.017994,6.00978e-05,0.0015039,0
0.0191722,6.00978e-05,0.0015039,0
0.0200949,6.00699e-05,0.00150392,0
0.0209452,6.00699e-05,0.00150392,0
0.0224445,6.00653e-05,0.00150392,0
0.0232448,6.00795e-05,0.00150391,0
0.0239671,6.00516e-05,0.00150392,0
0.0250286,6.0047e-05,0.00150392,0
0.0260438,6.00613e-05,0.00150391,0
0.0269596,6.00613e-05,0.00150391,0
0.0279594,6.00333e-05,0.00150392,0
0.0292008,6.00333e-05,0.00150392,0
0.0299962,6.00287e-05,0.00150392,0
0.0313712,6.00428e-05,0.00150391,0
0.0322183,6.00195e-05,0.00150392,0
0.0331633,6.00104e-05,0.00150393,0
0.0340224,6.00245e-05,0.00150392,0
0.0349553,6.00245e-05,0.00150392,0
0.0360044,5.99966e-05,0.00150393,0
0.0369887,5.99921e-05,0.00150393,0
0.0380158,5.99875e-05,0.00150393,0
0.0389616,5.9983e-05,0.00150393,0
0.0399642,5.9983e-05,0.00150393,0
0.0410063,5.99971e-05,0.00150392,0
0.0420335,5.99879e-05,0.00150392,0
0.0430409,5.99647e-05,0.00150394,0
0.044003,5.996e-05,0.00150394,0
0.0450137,5.99555e-05,0.00150394,0
0.0459931,5.99555e-05,0.00150394,0
0.0469722,5.99464e-05,0.00150394,0
0.0479698,5.99464e-05,0.00150394,0
0.0489852,5.99417e-05,0.00150394,0
0.0499414,5.99326e-05,0.00150394,0
0.0509587,5.99326e-05,0.00150394,0
0.051989,5.99469e-05,0.00150393,0
0.0529239,5.99235e-05,0.00150394,0
0.053957,5.99377e-05,0.00150393,0
0.0551225,5.99331e-05,0.00150393,0
0.0558969,5.87161e-05,0.00150396,0
0.0568953,5.87302e-05,0.00150395,0
0.057932,5.8707e-05,0.00150396,0
0.0589554,5.87023e-05,0.00150396,0
0.0599459,5.87166e-05,0.00150396,0
0.0609693,5.86932e-05,0.00150397,0
0.0620221,5.8684e-05,0.00150397,0
0.0630438,5.86795e-05,0.00150397,0
0.0640462,5.86937e-05,0.00150396,0
0.0649759,5.86704e-05,0.00150397,0
0.0659021,5.86704e-05,0.00150397,0
0.0669146,5.868e-05,0.00150396,0
0.0682379,5.86754e-05,0.00150396,0
0.0689633,5.86521e-05,0.00150397,0
0.0700129,5.86475e-05,0.00150397,0
0.0709178,5.8643e-05,0.00150398,0
0.0720862,5.86383e-05,0.00150398,0
0.0729619,5.86383e-05,0.00150398,0
0.0742532,5.86526e-05,0.00150397,0
0.0750386,5.86292e-05,0.00150398,0
0.0759911,5.86388e-05,0.00150397,0
0.0770525,5.86343e-05,0.00150397,0
0.0779645,5.86109e-05,0.00150398,0
0.078976,5.86251e-05,0.00150397,0
0.0799841,5.86017e-05,0.00150398,0
0.0810076,5.85972e-05,0.00150398,0
0.0819838,5.86113e-05,0.00150397,0
0.0829768,5.86069e-05,0.00150398,0
0.0839626,5.85834e-05,0.00150399,0
0.0852362,5.85977e-05,0.00150398,0
0.0859557,5.85743e-05,0.00150399,0
0.0870341,5.85886e-05,0.00150398,0
0.0880099,5.85886e-05,0.00150398,0
0.0890755,5.85607e-05,0.00150399,0
0.089965,5.85748e-05,0.00150398,0
0.0911013,5.85515e-05,0.00150399,0
0.0919655,5.85656e-05,0.00150398,0
0.0929744,5.85424e-05,0.00150399,0
0.0939721,5.85377e-05,0.00150399,0
0.0949453,5.8552e-05,0.00150399,0
0.0959781,5.85473e-05,0.00150399,0
0.0970638,5.85241e-05,0.001504,0
0.0979654,5.85241e-05,0.001504,0
0.0989637,5.85149e-05,0.001504,0
0.0999583,5.8529e-05,0.00150399,0
0.100969,5.8529e-05,0.00150399,0
0.101948,5.85199e-05,0.00150399,0
0.10331,5.85154e-05,0.00150399,0
0.104035,5.85107e-05,0.00150399,0
0.104973,5.84875e-05,0.001504,0
0.105998,5.85016e-05,0.001504,0
0.106991,5.84971e-05,0.001504,0
0.107965,5.84971e-05,0.001504,0
0.108957,5.8488e-05,0.001504,0
0.110094,5.84833e-05,0.001504,0
0.111755,5.84788e-05,0.001504,0
0.112007,5.84742e-05,0.001504,0
0.112973,5.84695e-05,0.001504,0
0.114012,5.84462e-05,0.00150401,0
0.115123,5.84604e-05,0.001504,0
0.116009,5.9377e-05,0.00150403,0
0.116947,5.9377e-05,0.00150403,0
0.117964,5.93723e-05,0.00150403,0
0.118995,5.93678e-05,0.00150403,0
0.119945,5.93632e-05,0.00150403,0
0.120944,5.93399e-05,0.00150405,0
0.121966,5.9354e-05,0.00150404,0
0.122973,5.93495e-05,0.00150404,0
0.123959,5.93449e-05,0.00150404,0
0.124961,5.93404e-05,0.00150404,0
0.125966,5.93357e-05,0.00150404,0
0.127226,5.93357e-05,0.00150404,0
0.128116,5.93266e-05,0.00150404,0
0.128965,5.93221e-05,0.00150404,0
0.130197,5.93175e-05,0.00150404,0
0.131039,5.92942e-05,0.00150405,0
0.131936,5.92942e-05,0.00150405,0
0.133042,5.93038e-05,0.00150405,0
0.134025,5.92992e-05,0.00150405,0
0.134946,5.92759e-05,0.00150406,0
0.136151,5.929e-05,0.00150405,0
0.137196,5.929e-05,0.00150405,0
0.138127,5.92621e-05,0.00150406,0
0.139062,5.92621e-05,0.00150406,0
0.140046,5.9253e-05,0.00150406,0
0.141398,5.92672e-05,0.00150405,0
0.141951,5.92438e-05,0.00150406,0
0.142948,5.92581e-05,0.00150406,0
0.144011,5.92535e-05,0.00150406,0
0.145075,5.92302e-05,0.00150407,0
0.145984,5.92255e-05,0.00150407,0
0.146968,5.92398e-05,0.00150406,0
0.147976,5.92352e-05,0.00150406,0
0.149379,5.92119e-05,0.00150407,0
0.149989,5.9226e-05,0.00150406,0
0.151018,5.9226e-05,0.00150406,0
0.152215,5.91981e-05,0.00150407,0
0.153146,5.92124e-05,0.00150406,0
0.154033,5.92124e-05,0.00150406,0
0.155049,5.92124e-05,0.00150406,0
0.155964,5.91845e-05,0.00150408,0
0.157283,5.91798e-05,0.00150408,0
0.158036,5.91941e-05,0.00150407,0
0.159479,5.91941e-05,0.00150407,0
