Timestamp,x2,y2,z2,roll2,pitch2,yaw2
21.0129,0.0565353,0.305514,0.732073,1.55535,1.50999,-0.238387
21.0267,0.0565316,0.305398,0.731899,1.56472,1.51057,-0.228685
21.2477,0.0566095,0.305435,0.732263,1.62587,1.50969,-0.167124
21.271,0.0566413,0.305379,0.732316,1.58358,1.51118,-0.210109
21.3425,0.056697,0.305325,0.73246,1.55219,1.51239,-0.241793
21.3582,0.0567158,0.305351,0.732634,1.55604,1.51128,-0.237592
21.3674,0.0567017,0.305217,0.732394,1.53778,1.51229,-0.2559
21.3761,0.0567367,0.305276,0.732634,1.57338,1.51131,-0.21996
21.3867,0.05675,0.305293,0.732738,1.56139,1.51128,-0.232219
21.4006,0.0567575,0.30529,0.732782,1.58907,1.51112,-0.204301
21.4129,0.0567465,0.305244,0.73271,1.57621,1.51185,-0.217579
21.428,0.0567507,0.305262,0.732781,1.58319,1.51187,-0.210148
21.4421,0.0567477,0.305299,0.732887,1.57009,1.51172,-0.223324
21.4523,0.0567313,0.305325,0.732961,1.57118,1.51144,-0.222293
21.4734,0.0567178,0.305351,0.733005,1.60023,1.51161,-0.192769
21.4835,0.0567036,0.305418,0.733134,1.57533,1.51191,-0.218722
21.5009,0.0566497,0.305411,0.73308,1.57647,1.51151,-0.217179
21.5106,0.0566394,0.305454,0.733105,1.60638,1.51184,-0.186945
21.5207,0.0566203,0.305517,0.733209,1.59982,1.511,-0.193881
21.532,0.0566109,0.305564,0.733246,1.5563,1.51066,-0.237338
21.5557,0.0565774,0.305481,0.732981,1.57658,1.51224,-0.216966
21.597,0.0565653,0.30556,0.733092,1.59304,1.51193,-0.200355
21.6444,0.0565475,0.305512,0.732922,1.58995,1.51171,-0.203387
21.6564,0.0565655,0.305639,0.733171,1.58816,1.51131,-0.205391
21.694,0.056567,0.305644,0.733136,1.58682,1.51134,-0.206547
21.7228,0.0565587,0.305622,0.733059,1.59163,1.51141,-0.201572
21.7541,0.0565475,0.305637,0.733087,1.56538,1.51058,-0.228349
21.7874,0.0565405,0.305663,0.73313,1.56945,1.51043,-0.224497
21.8255,0.0565285,0.305636,0.733046,1.5897,1.51083,-0.203883
21.8597,0.0565283,0.30567,0.733125,1.59654,1.51055,-0.196872
21.8938,0.0565195,0.305642,0.733062,1.59383,1.51085,-0.199526
21.9337,0.0565179,0.305634,0.733046,1.59133,1.51096,-0.202041
21.9546,0.0565117,0.305636,0.733048,1.58795,1.51086,-0.205515
21.9927,0.0565094,0.30563,0.733049,1.58974,1.51047,-0.203726
22.056,0.0565001,0.305585,0.73298,1.57181,1.51079,-0.221675
22.0714,0.0565041,0.305544,0.732928,1.57371,1.51114,-0.2199
22.0891,0.0565123,0.305536,0.732942,1.56697,1.51173,-0.226624
22.1292,0.0565277,0.305514,0.732902,1.56679,1.51165,-0.227152
22.2004,0.0565462,0.305522,0.732983,1.58039,1.51153,-0.213275
22.2178,0.0565578,0.305499,0.732971,1.61948,1.51247,-0.173653
22.239,0.0565764,0.305476,0.732984,1.57166,1.51211,-0.221718
22.2981,0.0565962,0.305496,0.73304,1.55677,1.51231,-0.236881
22.319,0.0565941,0.305475,0.732995,1.54227,1.51244,-0.251831
22.3601,0.056618,0.305496,0.733069,1.53846,1.5123,-0.255712
22.3704,0.0566314,0.305526,0.733156,1.54818,1.51172,-0.245767
22.3829,0.0566329,0.305496,0.733104,1.5748,1.512,-0.21884
22.4141,0.05665,0.305558,0.733272,1.57796,1.5111,-0.215294
22.4549,0.0566495,0.305559,0.733275,1.59069,1.51173,-0.202579
22.4854,0.0566475,0.305549,0.733237,1.59509,1.51193,-0.198026
22.5225,0.0566396,0.305526,0.73315,1.58612,1.51168,-0.207238
22.5555,0.0566327,0.305506,0.733068,1.56864,1.51147,-0.224805
22.5884,0.0566186,0.305483,0.732916,1.55677,1.51284,-0.237182
22.6215,0.0566122,0.305474,0.732843,1.55802,1.51269,-0.236046
22.6548,0.0565957,0.305409,0.732644,1.56897,1.51205,-0.224868
22.7206,0.0566057,0.305445,0.732668,1.60228,1.51208,-0.191145
22.7391,0.0566039,0.305503,0.732722,1.5836,1.51233,-0.210016
22.8899,0.0566115,0.305562,0.732803,1.56596,1.51212,-0.22772
22.9142,0.0566102,0.30558,0.732776,1.57195,1.51234,-0.221815
22.926,0.0566095,0.305601,0.732754,1.57185,1.51271,-0.221888
22.944,0.0566239,0.30568,0.732858,1.56592,1.51201,-0.227713
22.9542,0.0566139,0.305663,0.732771,1.59372,1.5113,-0.199694
23.3173,0.056596,0.305581,0.732494,1.60857,1.51221,-0.185008
23.3341,0.0565887,0.305578,0.732436,1.58411,1.51237,-0.209203
23.4947,0.0565881,0.305599,0.732569,1.58265,1.51217,-0.210366
23.5141,0.0565827,0.305576,0.732551,1.58985,1.5116,-0.203208
23.5794,0.0565862,0.305603,0.73278,1.56861,1.51146,-0.225007
23.5914,0.0565899,0.30552,0.732659,1.56725,1.51203,-0.226277
23.6121,0.0565825,0.30549,0.732689,1.56735,1.51232,-0.226521
23.6194,0.0565724,0.305467,0.732717,1.55023,1.51204,-0.243575
23.6317,0.0565779,0.305389,0.732619,1.55122,1.51273,-0.242345
23.6457,0.0565838,0.305438,0.732783,1.55944,1.51209,-0.234198
23.6556,0.0565787,0.305404,0.732763,1.57366,1.51193,-0.219965
23.6675,0.0565896,0.305399,0.732823,1.52744,1.51196,-0.266991
23.6792,0.0565818,0.305384,0.732821,1.54452,1.51206,-0.249564
23.6913,0.056592,0.30541,0.732924,1.54312,1.51203,-0.250669
23.7081,0.0566017,0.305402,0.73295,1.55491,1.51189,-0.238886
