Timestamp,q1,q2,q3,q4,q5,q6,q7
0.0057258,2.66438,0.0498661,-2.69854,-1.61728,0.00985754,-1.57934,0.08022
0.00642274,2.66438,0.049866,-2.69854,-1.61728,0.00985753,-1.57934,0.08022
0.00780306,2.66438,0.049866,-2.69854,-1.61728,0.00985753,-1.57934,0.08022
0.00904432,2.66438,0.049866,-2.69854,-1.61728,0.00985753,-1.57934,0.08022
0.00975243,2.66438,0.0498659,-2.69854,-1.61728,0.00985753,-1.57934,0.08022
0.0109186,2.66438,0.0498659,-2.69854,-1.61728,0.00985752,-1.57934,0.08022
0.0116316,2.66438,0.0498658,-2.69854,-1.61728,0.00985752,-1.57934,0.08022
0.0128386,2.66438,0.0498658,-2.69854,-1.61728,0.00985752,-1.57934,0.08022
0.0134172,2.66438,0.0498658,-2.69854,-1.61728,0.00985752,-1.57934,0.08022
0.0145654,2.66438,0.0498657,-2.69854,-1.61728,0.00985751,-1.57934,0.08022
0.0157489,2.66438,0.0498657,-2.69854,-1.61728,0.00985751,-1.57934,0.08022
0.0168445,2.66438,0.0498656,-2.69854,-1.61728,0.00985751,-1.57934,0.08022
0.0181343,2.66438,0.0498656,-2.69854,-1.61728,0.00985751,-1.57934,0.08022
0.0189951,2.66438,0.0498656,-2.69854,-1.61728,0.0098575,-1.57934,0.08022
0.0200227,2.66438,0.0498655,-2.69854,-1.61728,0.0098575,-1.57934,0.08022
0.0205691,2.66438,0.0498655,-2.69854,-1.61728,0.0098575,-1.57934,0.08022
0.0218669,2.66438,0.0498654,-2.69854,-1.61728,0.0098575,-1.57934,0.08022
0.0229625,2.66438,0.0498654,-2.69854,-1.61728,0.0098575,-1.57934,0.08022
0.023565,2.66438,0.0498654,-2.69854,-1.61728,0.00985749,-1.57934,0.08022
0.0247702,2.66438,0.0498653,-2.69854,-1.61728,0.00985749,-1.57934,0.08022
0.0265085,2.66438,0.0498653,-2.69854,-1.61728,0.00985749,-1.57934,0.08022
0.027099,2.66438,0.0498652,-2.69854,-1.61728,0.00985749,-1.57934,0.08022
0.0278004,2.66438,0.0498652,-2.69854,-1.61728,0.00985748,-1.57934,0.08022
0.0289477,2.66438,0.0498652,-2.69854,-1.61728,0.00985748,-1.57934,0.08022
0.0301791,2.66438,0.0498651,-2.69854,-1.61728,0.00985748,-1.57934,0.08022
0.030923,2.66438,0.0498651,-2.69854,-1.61728,0.00985748,-1.57934,0.08022
0.0319087,2.66438,0.0498651,-2.69854,-1.61728,0.00985747,-1.57934,0.08022
0.0331256,2.66438,0.049865,-2.69854,-1.61728,0.00985747,-1.57934,0.08022
0.0338212,2.66438,0.049865,-2.69854,-1.61728,0.00985747,-1.57934,0.08022
0.0348766,2.66438,0.0498649,-2.69854,-1.61728,0.00985747,-1.57934,0.08022
0.0361681,2.66438,0.0498649,-2.69854,-1.61728,0.00985746,-1.57934,0.08022
0.0368526,2.66438,0.0498649,-2.69854,-1.61728,0.00985746,-1.57934,0.08022
0.0380125,2.66438,0.0498648,-2.69854,-1.61728,0.00985746,-1.57934,0.08022
0.0389631,2.66438,0.0498648,-2.69854,-1.61728,0.00985746,-1.57934,0.08022
0.0398418,2.66438,0.0498647,-2.69854,-1.61728,0.00985745,-1.57934,0.08022
0.0410017,2.66438,0.0498647,-2.69854,-1.61728,0.00985745,-1.57934,0.08022
0.0418622,2.66438,0.0498647,-2.69854,-1.61728,0.00985745,-1.57934,0.08022
0.0428814,2.66438,0.0498646,-2.69854,-1.61728,0.00985745,-1.57934,0.08022
0.0440493,2.66438,0.0498646,-2.69854,-1.61728,0.00985744,-1.57934,0.08022
0.0448822,2.66438,0.0498645,-2.69854,-1.61728,0.00985744,-1.57934,0.08022
0.0458701,2.66438,0.0498645,-2.69854,-1.61728,0.00985744,-1.57934,0.08022
0.0470785,2.66438,0.0498645,-2.69854,-1.61728,0.00985744,-1.57934,0.08022
0.0479878,2.66438,0.0498644,-2.69854,-1.61728,0.00985743,-1.57934,0.08022
0.0489307,2.66438,0.0498644,-2.69854,-1.61728,0.00985743,-1.57934,0.08022
0.0500011,2.66438,0.0498643,-2.69854,-1.61728,0.00985743,-1.57934,0.08022
0.0511172,2.66438,0.0498643,-2.69854,-1.61728,0.00985743,-1.57934,0.08022
0.051864,2.66438,0.0498643,-2.69854,-1.61728,0.00985742,-1.57934,0.08022
0.0530429,2.66438,0.0498642,-2.69854,-1.61728,0.00985742,-1.57934,0.08022
0.0541232,2.66438,0.0498642,-2.69854,-1.61728,0.00985742,-1.57934,0.08022
0.0549478,2.66438,0.0498641,-2.69854,-1.61728,0.00985742,-1.57934,0.08022
0.0562193,2.66438,0.0498641,-2.69854,-1.61728,0.00985741,-1.57934,0.08022
0.0571468,2.66438,0.0498641,-2.69854,-1.61728,0.00985741,-1.57934,0.08022
0.0578254,2.66438,0.049864,-2.69854,-1.61728,0.00985741,-1.57934,0.08022
0.0589688,2.66438,0.049864,-2.69854,-1.61728,0.00985741,-1.57934,0.08022
0.0601577,2.66438,0.0498639,-2.69854,-1.61728,0.00985741,-1.57934,0.08022
0.0608086,2.66438,0.0498639,-2.69854,-1.61728,0.0098574,-1.57934,0.08022
0.0619695,2.66438,0.0498639,-2.69854,-1.61728,0.0098574,-1.57934,0.08022
0.0631092,2.66438,0.0498638,-2.69854,-1.61728,0.0098574,-1.57934,0.08022
0.0638654,2.66438,0.0498638,-2.69854,-1.61728,0.0098574,-1.57934,0.08022
0.0650092,2.66438,0.0498638,-2.69854,-1.61728,0.00985739,-1.57934,0.08022
0.065672,2.66438,0.0498637,-2.69854,-1.61728,0.00985739,-1.57934,0.08022
0.0668549,2.66438,0.0498637,-2.69854,-1.61728,0.00985739,-1.57934,0.08022
0.0680145,2.66438,0.0498636,-2.69854,-1.61728,0.00985739,-1.57934,0.08022
0.0687529,2.66438,0.0498636,-2.69854,-1.61728,0.00985738,-1.57934,0.08022
0.0699662,2.66438,0.0498636,-2.69854,-1.61728,0.00985738,-1.57934,0.08022
0.0707592,2.66438,0.0498635,-2.69854,-1.61728,0.00985738,-1.57934,0.08022
0.0717616,2.66438,0.0498635,-2.69854,-1.61728,0.00985738,-1.57934,0.08022
0.072908,2.66438,0.0498634,-2.69854,-1.61728,0.00985737,-1.57934,0.08022
0.073617,2.66438,0.0498634,-2.69854,-1.61728,0.00985737,-1.57934,0.08022
0.075528,2.66438,0.0498634,-2.69854,-1.61728,0.00985737,-1.57934,0.08022
