Timestamp,q1,q2,q3,q4,q5,q6,q7
0.00598143,2.2779,0.0665543,-2.32934,-1.61452,0.0599297,-1.59008,0.0849624
0.00616941,2.2779,0.0665543,-2.32934,-1.61452,0.0599297,-1.59008,0.0849624
0.00740879,2.2779,0.0665543,-2.32934,-1.61452,0.0599297,-1.59008,0.0849624
0.00941896,2.2779,0.0665542,-2.32934,-1.61452,0.0599297,-1.59008,0.0849624
0.0104431,2.2779,0.0665542,-2.32934,-1.61452,0.0599297,-1.59008,0.0849624
0.0131251,2.2779,0.0665541,-2.32934,-1.61452,0.0599297,-1.59008,0.0849624
0.0138287,2.2779,0.0665541,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0151107,2.2779,0.0665541,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0158118,2.2779,0.066554,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0170002,2.2779,0.066554,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0183142,2.2779,0.066554,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0188734,2.2779,0.066554,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0196912,2.2779,0.0665539,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0207948,2.2779,0.0665539,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0219941,2.2779,0.0665539,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0227285,2.2779,0.0665539,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0241323,2.2779,0.0665538,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0249832,2.2779,0.0665538,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0258744,2.2779,0.0665538,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0271283,2.2779,0.0665537,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0284259,2.2779,0.0665537,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
0.0290201,2.2779,0.0665537,-2.32934,-1.61452,0.0599296,-1.59008,0.0849624
