Timestamp,X_obj,Y_obj
0.0208425,-0.0351665,0.0145062,-1.16901
0.0408848,-0.0351665,0.0145062,-1.16901
0.0609268,-0.0351665,0.0145062,-1.16901
0.080878,-0.0351665,0.0145063,-1.16754
0.100928,-0.0351665,0.0145063,-1.16754
0.120935,-0.0351665,0.0145063,-1.16754
0.140975,-0.0351665,0.0145063,-1.16754
0.160978,-0.0351665,0.0145063,-1.16754
0.18088,-0.0351665,0.0145063,-1.16754
0.200872,-0.0351665,0.0145063,-1.16754
0.221733,-0.0351665,0.0145063,-1.16706
0.240913,-0.0351665,0.0145063,-1.16706
0.260989,-0.0351665,0.0145063,-1.16706
0.280859,-0.0351667,0.0145062,-1.17012
0.300875,-0.0351667,0.0145062,-1.17012
0.321142,-0.0351667,0.0145062,-1.17012
0.34095,-0.0351665,0.0145062,-1.16901
0.360871,-0.0351665,0.0145062,-1.16901
0.380936,-0.0351665,0.0145062,-1.16901
0.400851,-0.0351665,0.0145062,-1.16901
0.420873,-0.0351665,0.0145062,-1.16901
0.441045,-0.0351665,0.0145062,-1.16901
0.46096,-0.0351665,0.0145062,-1.16901
0.480916,-0.0351665,0.0145063,-1.16754
0.500945,-0.0351665,0.0145063,-1.16754
0.521051,-0.0351665,0.0145063,-1.16754
0.540997,-0.0351665,0.0145063,-1.16754
0.560949,-0.0351667,0.0145062,-1.17012
0.580881,-0.0351667,0.0145062,-1.17012
0.600881,-0.0351667,0.0145062,-1.17012
0.620844,-0.0351666,0.0145062,-1.17145
0.640845,-0.0351666,0.0145062,-1.17145
0.660907,-0.0351666,0.0145062,-1.17145
0.680872,-0.0351666,0.0145062,-1.17145
0.700918,-0.0351695,0.014506,-1.16526
0.720845,-0.0351695,0.014506,-1.16526
0.740874,-0.0351695,0.014506,-1.16526
0.76087,-0.0351723,0.0145065,-1.1553
0.780856,-0.0351723,0.0145065,-1.1553
0.800898,-0.0351723,0.0145065,-1.1553
0.821039,-0.0351723,0.0145065,-1.1553
0.840894,-0.0351652,0.0145058,-1.1674
0.860894,-0.0351652,0.0145058,-1.1674
0.880968,-0.0351652,0.0145058,-1.1674
0.90089,-0.03517,0.0145061,-1.17272
0.920916,-0.03517,0.0145061,-1.17272
0.940987,-0.03517,0.0145061,-1.17272
0.960856,-0.0351658,0.0145058,-1.1694
0.981017,-0.0351658,0.0145058,-1.1694
1.00094,-0.0351658,0.0145058,-1.1694
1.02087,-0.0351658,0.0145058,-1.1694
1.04109,-0.0351687,0.014506,-1.17142
