Timestamp,X_Error,Y_Error
0.00700274,0.00112373,0.000898456
0.0077713,0.00121459,0.000936122
0.00873468,0.00121459,0.000936122
0.00994979,0.00142355,0.00101787
0.0107043,0.0012651,0.00105825
0.0117585,0.0012651,0.00105825
0.0127167,0.00155332,0.00116121
0.0137072,0.0014699,0.000909802
0.0147235,0.0015671,0.000929527
0.0156913,0.00142358,0.000968344
0.0167297,0.00142358,0.000968344
0.0177113,0.00213519,0.00096258
0.0186977,0.00198166,0.00100532
0.0197176,0.00198166,0.00100532
0.0207074,0.00206035,0.00103283
0.021722,0.00238479,0.00103342
0.022693,0.00224657,0.00106428
0.0236978,0.00232209,0.00109265
0.024714,0.00241007,0.00111111
0.0257124,0.00287008,0.00103858
0.0267055,0.00274838,0.0010655
0.0277292,0.00282258,0.00109736
0.0287315,0.0031112,0.00109505
0.0297157,0.00297742,0.00113438
0.0306517,0.00304332,0.00116087
0.031739,0.00332517,0.00116027
0.0326542,0.00318957,0.00119476
0.0336775,0.00334185,0.000864388
0.0347232,0.00340553,0.000881723
0.0358208,0.00347435,0.000902277
0.0368035,0.00354546,0.000919648
0.0376987,0.0039538,0.000844298
0.0387937,0.003834,0.00087458
0.0398965,0.00388973,0.000905422
0.0407066,0.00413683,0.000899697
0.041744,0.00400464,0.000941822
0.0427789,0.00404687,0.000965932
0.0437568,0.00409893,0.000988631
0.0447228,0.00415184,0.00100499
0.0458019,0.00420495,0.00102605
0.0467946,0.00425473,0.00104223
0.0477954,0.00430609,0.00106267
0.0487443,0.00435389,0.00107823
0.0498014,0.00440296,0.0010981
0.0508203,0.00458463,0.00104304
0.051765,0.00464772,0.00105739
0.0527058,0.00463096,0.00103114
0.0537381,0.00436855,0.000804062
0.0547912,0.00436005,0.000779429
0.0557175,0.00436005,0.000779429
0.0566708,0.00453587,0.00090883
0.0578175,0.0047077,0.000861504
0.0587648,0.00470671,0.000829398
0.0597531,0.00462695,0.000922736
0.0607304,0.00482164,0.000919109
0.0617166,0.00487219,0.000938134
0.0627357,0.00494904,0.00099659
0.0637528,0.00497129,0.00101974
0.0646909,0.00499846,0.00103517
0.0659963,0.00502822,0.00105446
0.0667281,0.00505507,0.00106923
0.0676975,0.0050768,0.00108676
0.0687169,0.0050768,0.00108676
0.0697262,0.00512285,0.00112333
0.0706982,0.00498809,0.00116369
0.0717216,0.00498809,0.00116369
0.072777,0.00513779,0.00108864
0.0736924,0.00566516,0.00064049
0.0747666,0.00566516,0.00064049
0.0758838,0.0057665,0.00071395
0.0766831,0.00561606,0.000767029
0.078015,0.00580344,0.000758093
0.0786771,0.00581196,0.000764786
0.0797047,0.00565989,0.000819312
0.0808575,0.00535802,0.000792193
0.0817127,0.0054088,0.000845755
0.0827209,0.00539292,0.000829096
0.0837837,0.00538729,0.000805646
0.0846886,0.00555784,0.00078023
0.085695,0.00558981,0.000785846
0.0867383,0.00558981,0.000785846
0.0877627,0.00574846,0.00076452
0.0887052,0.005624,0.000828467
0.0897259,0.00578194,0.000806458
0.0907461,0.00578194,0.000806458
0.0917469,0.00579523,0.000814923
0.0927056,0.00566021,0.000864512
0.0937827,0.00579626,0.00084974
0.0947262,0.00568905,0.000515488
0.0957576,0.00570529,0.000531221
0.0970941,0.00584927,0.000510427
0.0980524,0.00583925,0.000488163
0.0986585,0.0055792,0.000608304
0.0997606,0.00570989,0.000601524
0.100789,0.00572395,0.000610719
0.101749,0.00571576,0.000595101
0.103783,0.00573795,0.000638753
0.1047,0.0058938,0.000633065
0.105827,0.00589503,0.000614104
0.106792,0.00589889,0.000628533
0.107884,0.00603856,0.000581441
0.10895,0.00618282,0.000556888
0.109771,0.006055,0.000607852
0.11082,0.00604411,0.000632494
0.11176,0.00604264,0.000653606
0.112819,0.0060432,0.000670873
0.114386,0.00572576,0.000467992
0.114999,0.00572573,0.000484998
0.115915,0.00571788,0.000472736
0.116729,0.00572719,0.000519601
0.117743,0.00572847,0.000538751
0.11886,0.00572847,0.000538751
0.119739,0.00586639,0.000501721
0.120721,0.00587344,0.0005201
0.122013,0.00587161,0.00054082
0.123351,0.0058685,0.000588473
0.123748,0.00586798,0.000578866
0.124976,0.00573224,0.000631632
0.12578,0.00586332,0.000647218
0.12673,0.00585666,0.000627918
0.127697,0.00586556,0.000645429
0.128702,0.00586556,0.000645429
0.129718,0.00600423,0.000624598
0.130867,0.00599196,0.000654916
0.131739,0.00586577,0.000713344
0.132687,0.00597596,0.000695615
0.133751,0.00595787,0.000379875
0.134715,0.00595577,0.000400341
0.135738,0.00608683,0.000377946
0.136931,0.00608774,0.000386861
0.13783,0.00596231,0.000445184
0.138739,0.00608017,0.00042604
0.139833,0.00620713,0.000368536
0.140725,0.00608421,0.000419096
0.141708,0.00608049,0.000443643
0.142726,0.00619808,0.000420152
0.143728,0.0060764,0.000473389
0.144713,0.00607294,0.000495095
0.145808,0.00619182,0.000472038
0.146703,0.00607764,0.000524037
0.147876,0.0061944,0.000506382
0.148715,0.00631734,0.00044765
0.149706,0.00620404,0.00050252
0.150687,0.00620404,0.00050252
0.151717,0.00631278,0.000500275
0.152885,0.00618286,0.000558932
0.153731,0.00586636,0.000359341
0.154708,0.00597514,0.000359665
0.155717,0.00597514,0.000359665
0.156722,0.00598535,0.000343869
0.157765,0.00598411,0.00039079
0.15865,0.00585486,0.000450232
0.159731,0.00585486,0.000450232
0.160681,0.00584464,0.000501714
0.161737,0.00584464,0.000501714
0.162715,0.00596525,0.000446942
0.163662,0.00585139,0.000526887
0.164703,0.00582991,0.000547309
0.165708,0.00570238,0.000606533
0.166745,0.00570972,0.000624276
0.167764,0.0057023,0.000636898
0.168743,0.00571271,0.000671929
0.169749,0.00571584,0.000684974
0.170857,0.00570094,0.000670197
0.17173,0.00570341,0.000681804
0.172707,0.00571426,0.000692646
0.173693,0.00561968,0.000452081
0.174661,0.00574305,0.000392054
0.175706,0.00575487,0.0004004
0.176715,0.00575707,0.000413094
0.177727,0.00575796,0.000429319
0.178709,0.00576425,0.000468631
0.179749,0.00576066,0.000459121
0.180721,0.00575555,0.000446214
0.181777,0.00576294,0.00048606
0.182727,0.00576294,0.00048606
0.18409,0.00576428,0.000540785
0.184732,0.00575981,0.000528491
0.185751,0.00575981,0.000528491
0.186754,0.00587973,0.000512163
0.18773,0.00577515,0.000563531
0.188717,0.00577515,0.000563531
0.189747,0.00589399,0.000549073
0.190723,0.00590766,0.000533422
0.191711,0.00591192,0.000574433
0.192965,0.00590312,0.000590151
0.193768,0.00589029,0.000289743
0.195103,0.00600276,0.000260629
0.195942,0.00600652,0.000269678
0.19671,0.00600333,0.000258774
0.197716,0.00601183,0.000275083
0.198663,0.00612324,0.000241518
0.199707,0.0061295,0.000228953
0.200717,0.00612929,0.000228587
0.201726,0.0061195,0.000293391
0.203037,0.00600947,0.0003511
0.203887,0.00600947,0.0003511
0.204993,0.00600825,0.000347574
0.205735,0.00601221,0.000397548
0.206927,0.00601221,0.000397548
0.20853,0.00612292,0.000383672
0.208989,0.00601415,0.000441696
0.209832,0.00601415,0.000441696
0.211001,0.0061314,0.000389136
0.211653,0.00613927,0.000410468
0.212693,0.00613782,0.000432798
0.213717,0.00582521,0.000266904
0.214701,0.00592906,0.000234634
0.2157,0.00593672,0.000222872
0.216744,0.00592296,0.00028847
0.217681,0.00592296,0.00028847
0.218714,0.00581632,0.000348222
0.219675,0.00580654,0.000383826
0.220664,0.00581723,0.00040042
0.221694,0.00604428,0.00029051
0.22267,0.00604428,0.00029051
0.223762,0.00605976,0.000297867
0.224693,0.00593191,0.000391124
0.225705,0.00591489,0.000390723
0.226732,0.00580195,0.000455085
0.227661,0.00580981,0.000477855
0.228693,0.00591242,0.000464745
0.229794,0.00592169,0.000453032
0.230717,0.00592905,0.000443834
0.23181,0.00591937,0.000483669
0.232812,0.00591886,0.000499647
0.233794,0.00580833,0.000255539
0.234804,0.00591887,0.000195592
0.235786,0.00592549,0.000207931
0.236709,0.00592366,0.000224337
0.237871,0.00592063,0.000244077
0.238825,0.00591756,0.000261283
0.239913,0.00591537,0.000280182
0.240799,0.00591262,0.000296918
0.241794,0.00591069,0.000315408
0.24273,0.00590823,0.000331743
0.243749,0.00601652,0.00027444
0.244821,0.00602079,0.000285995
0.245767,0.00601818,0.000305466
0.246731,0.00601305,0.000324321
0.247743,0.00600925,0.000344523
0.248732,0.00601396,0.000362574
0.249751,0.00600157,0.00038215
0.250982,0.00599763,0.000399638
0.25173,0.00599763,0.000399638
0.252735,0.00599093,0.00043589
0.253742,0.00598603,0.000124334
0.254717,0.00598899,0.000136572
0.255739,0.00599421,0.000156724
0.257133,0.00598804,0.000176186
0.257755,0.00598319,0.00019698
0.258655,0.00598319,0.00019698
0.259721,0.00596448,0.000235748
0.260764,0.00596814,0.00025381
0.261692,0.00596814,0.00025381
0.262776,0.00605611,0.000234559
0.26379,0.00605922,0.000232018
0.264724,0.00605922,0.000232018
0.266081,0.00594154,0.00032783
