Timestamp,X_objerr,Y_objerr
0.00594744,0.0045162,0.000307534,0
0.00689459,0.00451618,0.000307522,0
0.00772893,0.00451615,0.000307509,0
0.00873114,0.00451617,0.00030752,0
0.00972511,0.00451619,0.000307531,0
0.0107581,0.00451616,0.000307518,0
0.011719,0.00451616,0.000307517,0
0.0127374,0.00451617,0.000307527,0
0.0136967,0.00451617,0.000307527,0
0.0147069,0.00451614,0.000307514,0
0.0157246,0.00451616,0.000307525,0
0.0167441,0.00451614,0.000307512,0
0.0177151,0.00451613,0.000307511,0
0.0187639,0.00451615,0.000307522,0
0.0198257,0.00451612,0.000307509,0
0.0210853,0.00451614,0.00030752,0
0.0217131,0.00451612,0.000307508,0
0.022802,0.00451611,0.000307506,0
0.0237041,0.00451611,0.000307506,0
0.0247051,0.00451612,0.000307516,0
0.0258266,0.0045161,0.000307504,0
0.0267832,0.00451612,0.000307514,0
0.0277067,0.00451611,0.000307513,0
0.0287108,0.00451609,0.0003075,0
0.0297283,0.0045161,0.000307511,0
0.0307674,0.00451608,0.000307498,0
0.0317201,0.00451607,0.000307498,0
0.0327311,0.00451609,0.000307508,0
0.0337134,0.00451607,0.000307496,0
0.0347081,0.00451606,0.000307495,0
0.0357282,0.00451608,0.000307505,0
0.0367108,0.00451608,0.000307505,0
0.037752,0.00451605,0.000307492,0
0.0387002,0.00451607,0.000307503,0
0.0396449,0.00451604,0.00030749,0
0.0407016,0.00451604,0.000307489,0
0.0417286,0.00451603,0.000307488,0
0.0427224,0.00451603,0.000307487,0
0.0437263,0.00451605,0.000307498,0
0.0447138,0.00451602,0.000307485,0
0.0457106,0.00451602,0.000307484,0
0.0468592,0.00451602,0.000307484,0
0.0478342,0.00451601,0.000307482,0
0.0487401,0.00451603,0.000307493,0
0.0497274,0.004516,0.00030748,0
0.0508292,0.00451599,0.00030748,0
0.0517312,0.00451601,0.00030749,0
0.0527107,0.00451599,0.000307478,0
0.0537316,0.00451598,0.000307476,0
0.0547284,0.004516,0.000307487,0
0.0557184,0.00451597,0.000307474,0
0.0567186,0.00451597,0.000307474,0
0.0577255,0.00451597,0.000307473,0
0.0587467,0.00451487,0.000307679,0
0.0597206,0.00451486,0.000307677,0
0.0607103,0.00451486,0.000307676,0
0.0617826,0.00451486,0.000307676,0
0.0627107,0.00451485,0.000307674,0
0.0637237,0.00451487,0.000307685,0
0.0647062,0.00451487,0.000307685,0
0.0657176,0.00451483,0.000307672,0
0.0667292,0.00451483,0.00030767,0
0.0677491,0.00451483,0.00030767,0
0.0687052,0.00451482,0.000307668,0
0.0697218,0.00451484,0.000307679,0
0.0707801,0.00451484,0.000307679,0
0.0717209,0.00451481,0.000307666,0
0.0727128,0.00451483,0.000307676,0
0.0737093,0.0045148,0.000307664,0
0.074705,0.00451482,0.000307674,0
0.0757124,0.00451482,0.000307673,0
0.0767202,0.00451479,0.000307661,0
0.077744,0.00451481,0.000307671,0
0.0787003,0.00451478,0.000307659,0
0.0797021,0.00451478,0.000307658,0
0.0807205,0.00451479,0.000307668,0
0.0817361,0.00451479,0.000307667,0
0.0827145,0.00451476,0.000307655,0
0.0837193,0.00451476,0.000307654,0
0.084715,0.00451478,0.000307664,0
0.0857026,0.00451475,0.000307652,0
0.086715,0.00451475,0.000307651,0
0.0877035,0.00451477,0.000307662,0
0.0887195,0.00451474,0.00030765,0
0.0899072,0.00451474,0.00030765,0
0.0907352,0.00451473,0.000307648,0
0.0917049,0.0045147,0.000307635,0
0.0926854,0.00451472,0.000307646,0
0.0937134,0.00451474,0.000307656,0
0.0948378,0.00451471,0.000307644,0
0.0957253,0.00451471,0.000307642,0
0.0967155,0.00451471,0.000307642,0
0.0977171,0.0045147,0.00030764,0
0.0987397,0.00451472,0.000307651,0
0.0997446,0.00451469,0.000307638,0
0.100766,0.00451469,0.000307638,0
0.101796,0.00451469,0.000307637,0
0.102723,0.00451468,0.000307636,0
0.103726,0.00451468,0.000307635,0
0.104723,0.00451467,0.000307634,0
0.105775,0.00451467,0.000307634,0
0.106709,0.00451466,0.000307632,0
0.107713,0.00451466,0.000307631,0
0.108722,0.00451463,0.000307619,0
0.109702,0.00451465,0.000307629,0
0.11068,0.00451467,0.00030764,0
0.111777,0.00451467,0.00030764,0
0.112711,0.00451464,0.000307626,0
0.113734,0.00451464,0.000307626,0
0.114816,0.00451463,0.000307624,0
0.115713,0.00451465,0.000307635,0
0.116731,0.00451462,0.000307622,0
0.117715,0.00451462,0.000307622,0
0.118713,0.00451451,0.000307595,0
0.119754,0.00451451,0.000307594,0
0.12071,0.00451451,0.000307593,0
0.121702,0.0045145,0.000307592,0
0.122744,0.0045145,0.000307591,0
0.123713,0.00451449,0.00030759,0
0.124706,0.00451449,0.000307589,0
0.125705,0.00451449,0.000307588,0
0.126732,0.00451448,0.000307587,0
0.127712,0.00451448,0.000307587,0
0.128713,0.00451447,0.000307585,0
0.129723,0.00451447,0.000307584,0
0.130738,0.00451447,0.000307584,0
0.13175,0.00451446,0.000307582,0
0.13275,0.00451446,0.000307581,0
0.1337,0.00451445,0.00030758,0
0.134715,0.00451445,0.000307579,0
0.135714,0.00451444,0.000307578,0
0.136705,0.00451444,0.000307577,0
0.137708,0.00451444,0.000307577,0
0.138728,0.00451443,0.000307575,0
0.139709,0.00451443,0.000307575,0
