Timestamp,x1,y1,z1,roll1,pitch1,yaw1
0.675645,0.000141905,0.108407,0.686157,28.7734,85.3533,-74.2875
0.705419,0.000115544,0.108432,0.686172,30.6621,85.3434,-72.373
0.715503,9.41502e-05,0.108453,0.686076,28.6313,85.4984,-74.4151
0.725921,8.70733e-05,0.108477,0.685958,30.283,85.5654,-72.7266
0.734058,8.81459e-05,0.108527,0.686034,32.7902,85.3585,-70.2278
0.769581,5.01517e-05,0.108566,0.686076,21.7312,85.711,-81.3759
0.806541,6.56842e-05,0.108606,0.686075,25.4947,85.751,-77.5884
0.839037,7.69065e-05,0.108614,0.686033,27.8116,85.5998,-75.2567
0.875784,7.97067e-05,0.108649,0.686203,26.7977,85.456,-76.2706
0.910073,8.39007e-05,0.108642,0.686029,29.1093,85.4692,-73.9643
0.943941,5.68268e-05,0.108639,0.685959,23.203,85.5986,-79.8917
0.974758,5.64363e-05,0.108636,0.685938,23.5611,85.6088,-79.5309
0.997254,5.26735e-05,0.108634,0.685929,23.5716,85.5643,-79.517
1.03705,6.26939e-05,0.108641,0.686115,26.4407,85.4008,-76.6438
1.06823,6.39824e-05,0.108624,0.685941,28.3992,85.4563,-74.6665
1.10411,6.0785e-05,0.108625,0.685921,29.3856,85.2182,-73.6639
1.13529,4.65141e-05,0.108637,0.685977,29.6946,85.175,-73.3473
1.16898,4.46195e-05,0.108646,0.686051,28.5371,85.105,-74.5134
1.20061,3.34126e-05,0.108651,0.686075,26.2998,85.1069,-76.7623
1.23345,3.28801e-05,0.108655,0.686087,25.836,85.1425,-77.231
1.26661,4.36002e-05,0.108646,0.686047,28.2583,85.1223,-74.7983
1.29996,6.72959e-05,0.108628,0.685899,33.8772,85.2061,-69.132
1.33366,5.79328e-05,0.108605,0.685872,28.6205,85.5833,-74.4204
1.36568,6.41164e-05,0.108593,0.685851,24.8936,85.6217,-78.1761
1.3988,7.07686e-05,0.108579,0.685877,27.5784,85.5991,-75.475
1.43279,0.00010033,0.108573,0.685924,31.0576,85.4899,-71.9729
1.46422,0.000113359,0.108554,0.685967,28.5558,85.4111,-74.476
1.49751,0.000113555,0.10855,0.68589,27.8704,85.689,-75.1967
1.53193,0.000147428,0.108529,0.685871,28.3507,85.5111,-74.7075
1.56542,0.000162587,0.108526,0.685891,28.4127,85.4657,-74.6416
1.5971,0.000167905,0.108516,0.685883,28.768,85.4354,-74.2908
1.63155,0.000168178,0.1085,0.685782,30.9634,85.5448,-72.0793
1.66333,0.000173485,0.108496,0.685754,29.0543,85.6086,-74.0013
1.69614,0.000158824,0.108497,0.685815,28.0207,85.6256,-75.0282
