Timestamp,X_objerr,Y_objerr
0.00740867,0.00265254,0.000595759,0
0.00818551,0.00265253,0.000595761,0
0.00840175,0.00265253,0.000595761,0
0.0094577,0.00265252,0.000595763,0
0.0103992,0.00265252,0.000595763,0
0.0113428,0.00265251,0.000595764,0
0.0124611,0.00265251,0.000595764,0
0.0133495,0.0026525,0.000595766,0
0.0144184,0.0026525,0.000595766,0
0.0154632,0.00265249,0.000595768,0
0.0163816,0.00265249,0.000595768,0
0.0173731,0.00265248,0.00059577,0
0.0183499,0.00265245,0.000595781,0
0.0193267,0.00265245,0.000595781,0
0.0203781,0.00265247,0.000595772,0
0.0213884,0.00265246,0.000595773,0
0.0225102,0.00265246,0.000595773,0
0.0233761,0.00265242,0.000595786,0
0.0244112,0.00265242,0.000595786,0
0.0253728,0.00265238,0.000595799,0
0.0267762,0.00265238,0.000595799,0
0.0274066,0.0026524,0.00059579,0
0.0283207,0.0026524,0.00059579,0
0.0294817,0.00265243,0.00059578,0
0.0303814,0.00265239,0.000595792,0
0.0315166,0.00265239,0.000595793,0
0.0325875,0.00265238,0.000595793,0
0.0333915,0.00265238,0.000595795,0
0.0344231,0.00265237,0.000595795,0
0.0354759,0.00265237,0.000595797,0
0.0363709,0.00265236,0.000595797,0
0.0373491,0.00265239,0.000595788,0
0.0383184,0.00265235,0.000595799,0
0.0396768,0.00265235,0.0005958,0
0.0407236,0.00265237,0.000595791,0
0.0414015,0.00265233,0.000595802,0
0.0423616,0.00265233,0.000595802,0
0.0433248,0.00265239,0.000595782,0
0.0443684,0.00265236,0.000595793,0
0.0453837,0.00265235,0.000595795,0
0.0463299,0.00265235,0.000595795,0
0.0473492,0.00265235,0.000595795,0
0.0483097,0.00265234,0.000595797,0
0.0493636,0.00265233,0.000595798,0
0.0503143,0.00265233,0.000595798,0
0.0513556,0.00265232,0.0005958,0
0.052309,0.00265232,0.0005958,0
0.0533194,0.00265231,0.000595802,0
0.0543312,0.00265231,0.000595802,0
0.055331,0.0026523,0.000595804,0
0.0563795,0.0026523,0.000595804,0
0.0573582,0.00265229,0.000595805,0
0.0583785,0.00265229,0.000595805,0
0.0593236,0.00265228,0.000595807,0
0.0603581,0.00265225,0.000595818,0
0.0613185,0.00265227,0.000595809,0
0.0623794,0.00265227,0.000595809,0
0.0633068,0.00265223,0.000595822,0
0.0643249,0.00265226,0.000595811,0
0.0654021,0.00265226,0.000595812,0
0.0664847,0.00265225,0.000595813,0
0.0673503,0.00265225,0.000595814,0
0.0683967,0.00265225,0.000595814,0
0.0693826,0.00265224,0.000595814,0
0.0704095,0.00265221,0.000595827,0
0.0715577,0.0026522,0.000595827,0
0.0723574,0.0026522,0.000595829,0
0.0733211,0.00265222,0.000595818,0
0.0743117,0.00265222,0.00059582,0
0.0753586,0.00265221,0.00059582,0
0.0763641,0.00265218,0.000595832,0
0.077366,0.0026522,0.000595822,0
0.0783658,0.0026522,0.000595822,0
0.0793646,0.00265223,0.000595812,0
0.0803706,0.00265219,0.000595823,0
0.0815719,0.00265219,0.000595825,0
0.0823594,0.00265218,0.000595825,0
0.083348,0.00265215,0.000595838,0
0.084342,0.00265217,0.000595827,0
0.0856266,0.00265217,0.000595829,0
0.0865916,0.00265217,0.000595829,0
0.0874318,0.00265213,0.000595841,0
0.0883537,0.00265216,0.00059583,0
0.0896421,0.00265215,0.000595832,0
0.0909157,0.00265215,0.000595832,0
0.0913706,0.00265214,0.000595834,0
0.0924613,0.00265211,0.000595845,0
0.094088,0.00265211,0.000595845,0
0.0944633,0.0026521,0.000595847,0
0.0953171,0.00265206,0.00059586,0
0.0963352,0.00265209,0.000595849,0
0.0977764,0.00265209,0.000595849,0
0.0984673,0.00265208,0.00059585,0
0.0993699,0.00265204,0.000595863,0
0.100318,0.00265207,0.000595852,0
0.101378,0.00265203,0.000595865,0
0.102399,0.00265209,0.000595843,0
0.103351,0.00265205,0.000595856,0
0.104331,0.00265205,0.000595856,0
0.105358,0.00265207,0.000595846,0
0.106318,0.00265207,0.000595846,0
0.107423,0.00265207,0.000595848,0
0.10836,0.00265207,0.000595848,0
0.10934,0.00265202,0.000595861,0
0.110357,0.00265202,0.000595861,0
0.11185,0.00265205,0.000595852,0
0.112374,0.00265204,0.000595852,0
0.114871,0.00265204,0.000595853,0
0.115464,0.002652,0.000595865,0
0.116346,0.00265199,0.000595866,0
0.11737,0.00265202,0.000595857,0
0.118379,0.00265201,0.000595857,0
0.119363,0.00265198,0.00059587,0
0.120362,0.002652,0.000595859,0
0.121321,0.002652,0.000595861,0
0.122426,0.00265199,0.000595861,0
0.123319,0.00265196,0.000595873,0
0.124466,0.00265198,0.000595862,0
0.125335,0.00265195,0.000595875,0
0.126359,0.00265197,0.000595864,0
0.127325,0.00265197,0.000595866,0
0.128291,0.00265193,0.000595877,0
0.129359,0.00265196,0.000595868,0
0.130321,0.00265196,0.000595868,0
0.131356,0.00265192,0.000595881,0
0.132364,0.00265195,0.00059587,0
0.133323,0.00265194,0.000595871,0
0.134305,0.00265191,0.000595882,0
0.135314,0.00265193,0.000595873,0
0.136423,0.00265193,0.000595873,0
0.137363,0.00265189,0.000595886,0
0.138341,0.00265192,0.000595875,0
0.139364,0.00265191,0.000595877,0
0.140595,0.00265191,0.000595877,0
0.141415,0.0026519,0.000595878,0
0.142378,0.0026519,0.000595879,0
0.143355,0.00265189,0.00059588,0
0.144341,0.00265189,0.00059588,0
0.145385,0.00265188,0.000595882,0
0.146369,0.00265188,0.000595882,0
0.147345,0.00265188,0.000595884,0
0.148302,0.00265187,0.000595884,0
0.149353,0.00265187,0.000595886,0
0.150322,0.00265186,0.000595886,0
0.151375,0.00265186,0.000595887,0
0.152376,0.00265185,0.000595887,0
0.153394,0.00265185,0.000595889,0
0.154358,0.00265184,0.000595889,0
0.155364,0.00265184,0.000595891,0
0.156298,0.00265183,0.000595891,0
0.157396,0.00265183,0.000595893,0
0.158337,0.00265182,0.000595893,0
0.159316,0.00265182,0.000595894,0
0.160503,0.00265181,0.000595895,0
0.161358,0.00265181,0.000595896,0
0.162365,0.0026518,0.000595896,0
0.163364,0.0026518,0.000595898,0
0.164369,0.00265179,0.000595898,0
0.165314,0.00265179,0.0005959,0
0.166364,0.00265178,0.0005959,0
0.167368,0.00265178,0.000595902,0
0.168365,0.00265178,0.000595902,0
0.169363,0.00265177,0.000595903,0
0.170326,0.00265177,0.000595903,0
0.171365,0.00265176,0.000595905,0
0.172362,0.00265176,0.000595905,0
0.173356,0.00265175,0.000595907,0
0.174374,0.00265175,0.000595907,0
0.175376,0.00265174,0.000595909,0
0.176362,0.00265174,0.000595909,0
0.177325,0.00265173,0.00059591,0
0.178375,0.00265173,0.000595911,0
0.17937,0.00265172,0.000595912,0
0.180386,0.00265172,0.000595912,0
0.181319,0.00265171,0.000595914,0
0.182364,0.00265171,0.000595914,0
0.183366,0.0026517,0.000595916,0
0.184334,0.0026517,0.000595916,0
0.185356,0.00265169,0.000595918,0
0.186372,0.00265169,0.000595918,0
0.187361,0.00265168,0.000595919,0
