Timestamp,x2,y2,z2,roll2,pitch2,yaw2
0.618168,0.0553104,0.305984,0.742628,1.51804,1.50695,-0.275016
0.630469,0.0553444,0.305969,0.742789,1.51681,1.50872,-0.276059
0.641057,0.0553811,0.30601,0.743073,1.48453,1.50758,-0.308523
0.665371,0.0554135,0.305932,0.74305,1.454,1.50823,-0.339946
0.700768,0.0554643,0.305924,0.743223,1.44077,1.50803,-0.353398
0.738809,0.0555171,0.30599,0.743538,1.48582,1.50701,-0.306973
0.771113,0.0554849,0.305754,0.743119,1.47441,1.51008,-0.318594
0.808788,0.0555146,0.305857,0.743472,1.47665,1.50919,-0.316224
0.841903,0.0555303,0.305886,0.743695,1.48208,1.50891,-0.310723
0.878443,0.0555338,0.305842,0.743752,1.50978,1.51027,-0.283055
0.907849,0.0555148,0.305793,0.74372,1.50415,1.50968,-0.28883
0.939455,0.0555201,0.30584,0.743805,1.51842,1.51104,-0.27427
0.968377,0.0555187,0.305872,0.743921,1.51723,1.5096,-0.27557
1.00109,0.0555213,0.305925,0.744115,1.49965,1.50698,-0.293251
1.03436,0.0554844,0.305883,0.744021,1.49821,1.50724,-0.294866
1.06745,0.0554504,0.305861,0.743965,1.49688,1.50704,-0.29595
1.10079,0.0554135,0.305866,0.743952,1.49389,1.50784,-0.299038
1.13353,0.055379,0.305851,0.743918,1.48028,1.50827,-0.313101
1.16647,0.0553928,0.305985,0.744192,1.53617,1.50779,-0.256334
1.20134,0.0553943,0.306042,0.74428,1.51719,1.50756,-0.275748
1.23277,0.0553411,0.305936,0.743979,1.52461,1.50828,-0.267771
1.26517,0.0553299,0.306006,0.744012,1.53625,1.50849,-0.256408
1.29663,0.0553212,0.306002,0.743897,1.5201,1.50792,-0.272552
1.32965,0.0553277,0.306039,0.743922,1.51942,1.50791,-0.273302
1.43132,0.0553205,0.306087,0.743959,1.49978,1.50736,-0.29332
1.44909,0.0552975,0.306047,0.743798,1.53196,1.50868,-0.260657
1.4668,0.0553407,0.306198,0.744162,1.52381,1.50768,-0.26898
1.48478,0.055317,0.306135,0.743942,1.56066,1.50793,-0.231494
1.5016,0.055287,0.306067,0.743715,1.53923,1.50948,-0.253913
1.52832,0.055268,0.306035,0.74359,1.52543,1.50923,-0.267726
1.56183,0.0552631,0.306117,0.743702,1.45726,1.50761,-0.336449
1.59474,0.0552555,0.306092,0.743625,1.46001,1.50772,-0.333623
1.62799,0.055253,0.306103,0.743627,1.47587,1.50745,-0.31778
1.66076,0.0552547,0.306112,0.743645,1.47947,1.50764,-0.314177
1.69414,0.0552549,0.306102,0.743621,1.48191,1.50789,-0.31174
1.72772,0.0552656,0.30607,0.743564,1.48411,1.50847,-0.309582
1.76055,0.0552782,0.306073,0.743588,1.47381,1.50868,-0.319706
1.79508,0.0552754,0.306007,0.743423,1.45988,1.50906,-0.333999
1.8315,0.0553038,0.306032,0.743489,1.4677,1.50933,-0.325792
1.86367,0.0553031,0.306017,0.743496,1.41919,1.50852,-0.375248
1.89226,0.0553327,0.30604,0.743603,1.4825,1.50806,-0.310854
1.9253,0.0553532,0.306001,0.743529,1.42068,1.50887,-0.373741
1.95958,0.055365,0.305988,0.743542,1.45642,1.50914,-0.337294
1.99132,0.055367,0.305982,0.743585,1.4507,1.50914,-0.342881
2.02437,0.0553619,0.305934,0.743504,1.47535,1.51019,-0.318134
2.05606,0.0554066,0.306051,0.743855,1.47747,1.50778,-0.315625
2.09073,0.0554207,0.306052,0.74389,1.49076,1.5075,-0.302292
2.12372,0.0554125,0.306044,0.743868,1.49678,1.50774,-0.296339
2.15476,0.0554132,0.306045,0.743876,1.49682,1.50768,-0.296296
2.18758,0.0554067,0.306026,0.743814,1.49732,1.50799,-0.295779
2.21889,0.0554021,0.306018,0.743799,1.49881,1.50817,-0.294123
2.25194,0.0553987,0.305985,0.743718,1.4913,1.50822,-0.301827
2.28596,0.0553984,0.305985,0.74371,1.48608,1.50826,-0.307068
2.32039,0.0554022,0.306,0.743719,1.49535,1.50852,-0.297791
2.35221,0.0554063,0.306011,0.743725,1.50146,1.50853,-0.291675
2.38594,0.0553803,0.305934,0.743478,1.45493,1.50863,-0.338823
2.41874,0.0554015,0.306073,0.743754,1.49262,1.50776,-0.300768
2.45114,0.0553944,0.306,0.743547,1.51204,1.50813,-0.281007
2.48383,0.0553967,0.306037,0.743565,1.49764,1.50863,-0.295433
2.51666,0.0553911,0.306038,0.743534,1.46711,1.50791,-0.326382
2.5495,0.055396,0.306052,0.743529,1.48034,1.50865,-0.312925
2.58234,0.0553854,0.306031,0.743447,1.52058,1.50875,-0.271962
2.61803,0.0553888,0.306011,0.743362,1.51545,1.509,-0.277341
2.65109,0.0553942,0.306064,0.743431,1.52525,1.5084,-0.267731
2.68371,0.055392,0.30604,0.743341,1.52259,1.50851,-0.270247
2.71677,0.0553947,0.306048,0.743315,1.47321,1.50799,-0.32018
2.749,0.0554116,0.306138,0.743482,1.53378,1.50652,-0.258658
2.78226,0.0554155,0.306152,0.743503,1.53982,1.50625,-0.252602
2.81439,0.0554074,0.306128,0.74344,1.5357,1.50654,-0.256835
2.84972,0.0554021,0.306115,0.743414,1.52538,1.5069,-0.26727
2.88103,0.0554019,0.30612,0.743435,1.52557,1.50731,-0.266957
2.91902,0.0554105,0.306147,0.743516,1.55865,1.50796,-0.233506
2.94819,0.0554058,0.306132,0.743502,1.54693,1.50754,-0.245212
2.98429,0.0553958,0.306088,0.743427,1.54053,1.50727,-0.251812
3.01598,0.0553787,0.306025,0.743343,1.47898,1.50847,-0.314198
3.04647,0.0553741,0.305992,0.743281,1.51217,1.50802,-0.280601
3.07999,0.055376,0.306019,0.743407,1.4966,1.50865,-0.296307
3.11266,0.0553757,0.306016,0.743432,1.494,1.50816,-0.298894
3.14583,0.0553694,0.305943,0.743314,1.46868,1.50929,-0.324487
3.1786,0.0553718,0.305997,0.743497,1.5124,1.50862,-0.280631
3.21182,0.0553655,0.305974,0.743455,1.49698,1.50924,-0.295875
3.24476,0.0553658,0.305991,0.743524,1.48452,1.50868,-0.308499
3.27637,0.0553646,0.305937,0.743433,1.5184,1.50873,-0.27428
3.30868,0.0553484,0.305887,0.743328,1.48766,1.50951,-0.30525
3.3432,0.0553455,0.305921,0.743424,1.46115,1.5086,-0.332091
3.37652,0.0553447,0.305874,0.743342,1.48484,1.50913,-0.308134
3.40549,0.0553421,0.305866,0.743348,1.48058,1.50936,-0.312431
3.43637,0.0553462,0.30588,0.743387,1.4805,1.50939,-0.312563
3.47458,0.0553482,0.305885,0.74339,1.47699,1.50923,-0.316127
3.50752,0.0553504,0.305884,0.743375,1.48285,1.50916,-0.310245
3.5408,0.0553812,0.306013,0.743646,1.47704,1.50734,-0.316488
3.5797,0.055392,0.306024,0.743668,1.47827,1.50726,-0.315138
3.60804,0.0553974,0.306044,0.743717,1.50939,1.50751,-0.28361
3.64162,0.0553639,0.305923,0.743364,1.50406,1.5087,-0.288884
3.67419,0.0553729,0.305996,0.743494,1.48663,1.50867,-0.306487
3.70744,0.0553919,0.306005,0.74351,1.53483,1.5084,-0.257734
3.74005,0.0553803,0.305972,0.743392,1.52195,1.50866,-0.270965
3.77412,0.0553832,0.306027,0.743467,1.51789,1.50848,-0.274906
3.80595,0.0553808,0.306046,0.743476,1.49181,1.50802,-0.301358
3.83871,0.0553815,0.306031,0.743428,1.49821,1.50805,-0.294846
3.88116,0.0553751,0.306019,0.743383,1.50622,1.50802,-0.286566
3.90963,0.055375,0.306021,0.743345,1.50224,1.50914,-0.290789
3.94007,0.0553646,0.306044,0.743393,1.50515,1.50862,-0.287619
3.97333,0.0553519,0.30597,0.743191,1.48841,1.50992,-0.304958
4.00428,0.0553483,0.305963,0.74316,1.52676,1.50967,-0.266055
4.03551,0.0553477,0.305962,0.743151,1.49757,1.50943,-0.295571
4.06955,0.0553454,0.305958,0.743151,1.50769,1.50976,-0.285288
4.10232,0.0553466,0.305984,0.743213,1.51371,1.50961,-0.279125
4.13586,0.0553445,0.305982,0.743218,1.51019,1.50935,-0.28262
4.1722,0.0553371,0.305978,0.743232,1.4938,1.50843,-0.299234
4.20413,0.0553402,0.305976,0.743261,1.5183,1.50892,-0.274639
4.23504,0.0553417,0.305983,0.743313,1.49873,1.50893,-0.29441
4.26784,0.0553277,0.305956,0.743274,1.50631,1.50913,-0.286431
4.30261,0.0553544,0.306022,0.743475,1.49269,1.50784,-0.300321
4.33577,0.0553567,0.305988,0.743431,1.46034,1.50862,-0.333272
4.40049,0.0553671,0.305994,0.743486,1.46713,1.50871,-0.326265
4.4174,0.0553611,0.305916,0.743337,1.47284,1.50954,-0.320295
4.43418,0.0553649,0.305965,0.743483,1.4955,1.50863,-0.297308
4.46418,0.0553582,0.305924,0.743412,1.50032,1.5084,-0.292699
4.49659,0.0553568,0.305845,0.743252,1.49717,1.50941,-0.295642
4.53081,0.0553733,0.305934,0.743532,1.44466,1.50846,-0.349083
4.5639,0.0553753,0.305899,0.743467,1.49445,1.50889,-0.298768
4.5965,0.0553812,0.305922,0.743556,1.50974,1.50838,-0.283062
4.63393,0.0553809,0.305896,0.743491,1.51505,1.50832,-0.27782
4.6643,0.0553838,0.305906,0.743517,1.52514,1.5083,-0.267492
4.6971,0.0553823,0.305898,0.743498,1.52406,1.50839,-0.26858
4.73074,0.0553808,0.305893,0.743466,1.52856,1.5089,-0.264071
4.76444,0.0553793,0.305889,0.743439,1.53855,1.50925,-0.25386
4.79787,0.0553985,0.305971,0.743627,1.52174,1.50819,-0.270828
4.83066,0.0553884,0.30594,0.743507,1.49759,1.50717,-0.295211
4.86514,0.055366,0.305875,0.74328,1.52402,1.50867,-0.268685
4.89735,0.0553682,0.30593,0.743391,1.52203,1.50813,-0.270698
4.9297,0.0553768,0.305935,0.743336,1.55167,1.5088,-0.240739
4.96209,0.0553521,0.305841,0.743092,1.48454,1.50911,-0.308758
4.99422,0.0553279,0.305823,0.74299,1.52508,1.50972,-0.267584
5.0266,0.0553316,0.305861,0.74306,1.51405,1.50962,-0.2789
5.05963,0.0553412,0.305955,0.743222,1.47976,1.50888,-0.313682
5.09258,0.0553488,0.306004,0.743304,1.48616,1.50868,-0.30723
5.12594,0.0553471,0.305985,0.74325,1.47506,1.50819,-0.31878
5.15864,0.0553367,0.305956,0.743149,1.51575,1.50884,-0.277575
5.19134,0.0553335,0.305945,0.743121,1.51874,1.50841,-0.274543
5.22411,0.0553532,0.306007,0.743263,1.49207,1.50744,-0.301611
5.2575,0.0553513,0.306001,0.743239,1.48531,1.50788,-0.308421
5.28843,0.0553536,0.306008,0.743249,1.48231,1.50804,-0.311444
5.32209,0.0553294,0.305912,0.743013,1.51037,1.50937,-0.282873
5.35627,0.055333,0.305869,0.742937,1.51437,1.50924,-0.278783
5.39219,0.0553204,0.305808,0.742794,1.4428,1.51002,-0.350564
5.4215,0.0553514,0.305901,0.743058,1.46195,1.50871,-0.331541
5.4473,0.0553418,0.305844,0.742965,1.51031,1.50952,-0.282671
5.4875,0.0553506,0.30588,0.743101,1.50819,1.50901,-0.284647
5.52069,0.0553641,0.305959,0.743364,1.51032,1.50965,-0.282506
