Timestamp,x1,y1,z1,roll1,pitch1,yaw1
21.0165,0.0871526,0.0881483,0.668988,35.9283,86.3973,-65.3569
21.0303,0.0871817,0.0881972,0.669174,34.709,86.423,-66.5694
21.2513,0.0872189,0.0882102,0.669189,37.4521,86.4866,-63.7999
21.2705,0.0872212,0.0882099,0.669179,38.0385,86.4745,-63.2079
21.3461,0.0873122,0.0882103,0.669387,39.6912,86.5214,-61.564
21.3619,0.0873897,0.0881611,0.669587,37.6826,86.5228,-63.5904
21.371,0.0874808,0.0881428,0.669924,34.5221,86.2282,-66.7092
21.3797,0.0875101,0.0880654,0.669979,32.0513,86.3106,-69.2198
21.3904,0.0875344,0.0880406,0.670095,32.7444,86.464,-68.5466
21.4041,0.0875453,0.088055,0.670335,31.4555,86.4691,-69.8475
21.4165,0.0875377,0.0880449,0.6703,31.8023,86.3157,-69.4896
21.4325,0.087523,0.0880445,0.670333,33.1508,86.3193,-68.1287
21.4457,0.0875118,0.0880589,0.670458,30.7145,86.3879,-70.5827
21.4559,0.0874855,0.0880413,0.670209,34.8869,86.3885,-66.4201
21.4769,0.087471,0.0880938,0.670368,32.4131,86.2884,-68.8714
21.4871,0.0874196,0.0881406,0.670325,33.0879,86.1581,-68.1691
21.5035,0.0873595,0.0882114,0.670329,33.5348,86.4305,-67.7391
21.5142,0.0872723,0.0882207,0.670043,37.4298,86.4939,-63.8582
21.5242,0.0872286,0.0882596,0.670101,34.3563,86.3237,-66.9124
21.5356,0.0871961,0.0883034,0.669991,39.3372,86.6268,-61.9348
21.5593,0.0871799,0.0883371,0.669998,38.6647,86.5796,-62.6016
21.5941,0.0871475,0.0883608,0.669792,40.2221,86.6329,-61.0359
21.6481,0.087182,0.0884294,0.670216,34.9027,86.592,-66.3665
21.66,0.0871915,0.088444,0.670235,35.6764,86.5772,-65.5812
21.6976,0.0872045,0.0884727,0.670396,33.5017,86.5776,-67.7613
21.7264,0.0872024,0.0884812,0.670344,34.7897,86.6719,-66.4944
21.7577,0.0871982,0.0884543,0.67022,35.6386,86.5553,-65.6397
21.7911,0.0871584,0.0883718,0.66989,36.1031,86.3919,-65.1421
