Timestamp,X_objerr,Y_objerr
0.0051117,0.00525293,0.000760895,2.93989
0.005879,0.00525293,0.000760895,2.93989
0.00677946,0.00525293,0.000760895,2.93989
0.00780426,0.00525293,0.000760895,2.93989
0.00888156,0.00525293,0.000760895,2.93989
0.0102363,0.00525293,0.000760895,2.93989
0.0131102,0.00525283,0.000760864,2.93989
0.013951,0.00525283,0.000760864,2.93989
0.0148285,0.00525283,0.000760864,2.93989
0.0157986,0.00525283,0.000760864,2.93989
0.0168536,0.00525283,0.000760864,2.93989
0.0177904,0.00525283,0.000760864,2.93989
0.01886,0.00525283,0.000760864,2.93989
0.0197744,0.00525283,0.000760864,2.93989
0.0207825,0.00525283,0.000760864,2.93989
0.021783,0.00525283,0.000760864,2.93989
0.0228159,0.00525283,0.000760864,2.93989
0.023815,0.00525283,0.000760864,2.93989
0.0247762,0.00525283,0.000760864,2.93989
0.0257834,0.00525283,0.000760864,2.93989
0.0267971,0.00525283,0.000760864,2.93989
0.0277727,0.00525283,0.000760864,2.93989
0.0288466,0.00525283,0.000760864,2.93989
0.0297912,0.00525283,0.000760864,2.93989
0.0308118,0.0052528,0.000760869,2.93989
0.0317874,0.0052528,0.000760869,2.93989
0.0328376,0.0052528,0.000760869,2.93989
0.0337885,0.0052528,0.000760869,2.93989
0.034818,0.0052528,0.000760869,2.93989
0.0359641,0.0052528,0.000760869,2.93989
0.0367934,0.0052528,0.000760869,2.93989
0.0378259,0.0052528,0.000760869,2.93989
0.0388359,0.0052528,0.000760869,2.93989
0.0398642,0.0052528,0.000760869,2.93989
0.0408686,0.0052528,0.000760869,2.93989
0.0418275,0.0052528,0.000760869,2.93989
0.0428365,0.0052528,0.000760869,2.93989
0.0438514,0.0052528,0.000760869,2.93989
0.0448357,0.0052528,0.000760869,2.93989
0.0458363,0.0052528,0.000760869,2.93989
0.0472921,0.0052528,0.000760869,2.93989
0.0478337,0.0052528,0.000760869,2.93989
0.0487448,0.0052528,0.000760869,2.93989
0.0498018,0.0052528,0.000760869,2.93989
0.0508248,0.00525269,0.000760835,2.93989
0.0518033,0.00525269,0.000760835,2.93989
0.0528911,0.00525269,0.000760835,2.93989
0.0537862,0.00525269,0.000760835,2.93989
0.0548312,0.00525269,0.000760835,2.93989
0.0557799,0.00525253,0.000760808,2.94079
0.0567926,0.00525253,0.000760808,2.94079
0.0578784,0.00525253,0.000760808,2.94079
0.058799,0.00525253,0.000760808,2.94079
0.0597956,0.00525253,0.000760808,2.94079
0.0608135,0.00525253,0.000760808,2.94079
0.0617957,0.00525253,0.000760808,2.94079
0.0627765,0.00525253,0.000760808,2.94079
0.0638661,0.00525253,0.000760808,2.94079
0.0648117,0.00525253,0.000760808,2.94079
0.0658037,0.00525253,0.000760808,2.94079
0.0668026,0.00525253,0.000760808,2.94079
0.067832,0.00525253,0.000760808,2.94079
0.0687771,0.00525253,0.000760808,2.94079
0.0698241,0.00525253,0.000760808,2.94079
0.0708247,0.00525245,0.000760787,2.94079
0.0717712,0.00525245,0.000760787,2.94079
0.0727989,0.00525245,0.000760787,2.94079
0.0737916,0.00525245,0.000760787,2.94079
0.0748082,0.00525245,0.000760787,2.94079
0.0759631,0.00525245,0.000760787,2.94079
0.0767755,0.00525245,0.000760787,2.94079
0.0777761,0.00525245,0.000760787,2.94079
0.0787759,0.00525245,0.000760787,2.94079
0.0798204,0.00525245,0.000760787,2.94079
0.0807879,0.00525245,0.000760787,2.94079
0.0817887,0.00525245,0.000760787,2.94079
0.0828632,0.00525245,0.000760787,2.94079
0.0837913,0.00525245,0.000760787,2.94079
0.0847732,0.00525245,0.000760787,2.94079
0.0857777,0.00525245,0.000760787,2.94079
0.0868078,0.00525245,0.000760787,2.94079
0.0878381,0.00525245,0.000760787,2.94079
0.0888037,0.00525245,0.000760787,2.94079
0.0897899,0.00525245,0.000760787,2.94079
0.0907921,0.00525236,0.000760766,2.94079
0.0918371,0.00525236,0.000760766,2.94079
0.0927997,0.00525236,0.000760766,2.94079
0.0938253,0.00525236,0.000760766,2.94079
0.0949128,0.00525236,0.000760766,2.94079
0.0958034,0.00525236,0.000760766,2.94079
0.0968072,0.00525236,0.000760766,2.94079
0.0977984,0.00525236,0.000760766,2.94079
0.0988267,0.00525236,0.000760766,2.94079
0.0998148,0.00525236,0.000760766,2.94079
0.101016,0.00525236,0.000760766,2.94079
0.102147,0.00525236,0.000760766,2.94079
0.102867,0.00525236,0.000760766,2.94079
0.10453,0.00525236,0.000760766,2.94079
0.104786,0.00525236,0.000760766,2.94079
0.105791,0.00525236,0.000760766,2.94079
0.106781,0.00525236,0.000760766,2.94079
0.10783,0.00525236,0.000760766,2.94079
0.109183,0.00525236,0.000760766,2.94079
0.109912,0.00525236,0.000760766,2.94079
0.110988,0.00525236,0.000760766,2.94079
0.112338,0.00525228,0.000760744,2.94079
0.113283,0.00525228,0.000760744,2.94079
0.114029,0.00525228,0.000760744,2.94079
0.114821,0.00525228,0.000760744,2.94079
0.116124,0.00525228,0.000760744,2.94079
0.116821,0.00525228,0.000760744,2.94079
0.118187,0.00525228,0.000760744,2.94079
0.11886,0.00525228,0.000760744,2.94079
0.12001,0.00525228,0.000760744,2.94079
0.120807,0.00525228,0.000760744,2.94079
0.121964,0.00525228,0.000760744,2.94079
0.122811,0.00525228,0.000760744,2.94079
0.123862,0.00525228,0.000760744,2.94079
0.124792,0.00525228,0.000760744,2.94079
0.125857,0.00525228,0.000760744,2.94079
0.126805,0.00525228,0.000760744,2.94079
0.12795,0.00525228,0.000760744,2.94079
0.128799,0.00525228,0.000760744,2.94079
0.129813,0.00525228,0.000760744,2.94079
0.13083,0.00525219,0.000760723,2.94079
0.131807,0.00525219,0.000760723,2.94079
0.132792,0.00525219,0.000760723,2.94079
0.1338,0.00525219,0.000760723,2.94079
0.134791,0.00525219,0.000760723,2.94079
0.135792,0.00525173,0.000760839,2.93876
0.136798,0.00525173,0.000760839,2.93876
0.137808,0.00525173,0.000760839,2.93876
0.138808,0.00525173,0.000760839,2.93876
0.139779,0.00525173,0.000760839,2.93876
0.140797,0.00525173,0.000760839,2.93876
0.141777,0.00525173,0.000760839,2.93876
0.142824,0.00525173,0.000760839,2.93876
0.143801,0.00525173,0.000760839,2.93876
0.144805,0.00525173,0.000760839,2.93876
0.145784,0.00525173,0.000760839,2.93876
0.146807,0.00525173,0.000760839,2.93876
0.147854,0.00525173,0.000760839,2.93876
0.148827,0.00525173,0.000760839,2.93876
0.149828,0.00525173,0.000760839,2.93876
0.150894,0.00525165,0.000760817,2.93876
0.151909,0.00525165,0.000760817,2.93876
0.152845,0.00525165,0.000760817,2.93876
0.153813,0.00525165,0.000760817,2.93876
0.154885,0.00525165,0.000760817,2.93876
0.155804,0.00525165,0.000760817,2.93876
0.156785,0.00525165,0.000760817,2.93876
0.157822,0.00525165,0.000760817,2.93876
0.158842,0.00525165,0.000760817,2.93876
0.159878,0.00525165,0.000760817,2.93876
0.160828,0.00525165,0.000760817,2.93876
0.161807,0.00525165,0.000760817,2.93876
0.162781,0.00525165,0.000760817,2.93876
0.163782,0.00525165,0.000760817,2.93876
0.164789,0.00525165,0.000760817,2.93876
0.165788,0.00525165,0.000760817,2.93876
0.166794,0.00525165,0.000760817,2.93876
0.167805,0.00525165,0.000760817,2.93876
0.1688,0.00525165,0.000760817,2.93876
0.169794,0.00525165,0.000760817,2.93876
0.170788,0.00525156,0.000760796,2.93876
0.171799,0.00525156,0.000760796,2.93876
0.172789,0.00525156,0.000760796,2.93876
0.173812,0.00525156,0.000760796,2.93876
0.174847,0.00525156,0.000760796,2.93876
0.175934,0.00525156,0.000760796,2.93876
0.176898,0.00525156,0.000760796,2.93876
0.177832,0.00525156,0.000760796,2.93876
0.178809,0.00525156,0.000760796,2.93876
0.179797,0.00525156,0.000760796,2.93876
0.180796,0.00525156,0.000760796,2.93876
0.181784,0.00525156,0.000760796,2.93876
0.182773,0.00525156,0.000760796,2.93876
0.183816,0.00525156,0.000760796,2.93876
0.184849,0.00525156,0.000760796,2.93876
0.185809,0.00525156,0.000760796,2.93876
0.186904,0.00525156,0.000760796,2.93876
0.187872,0.00525156,0.000760796,2.93876
0.188873,0.00525156,0.000760796,2.93876
0.190109,0.00525156,0.000760796,2.93876
0.19087,0.0052515,0.000760788,2.93876
0.191901,0.0052515,0.000760788,2.93876
0.192995,0.0052515,0.000760788,2.93876
0.193876,0.0052515,0.000760788,2.93876
0.194879,0.0052515,0.000760788,2.93876
0.195821,0.0052515,0.000760788,2.93876
0.196854,0.0052515,0.000760788,2.93876
0.197839,0.0052515,0.000760788,2.93876
0.198806,0.0052515,0.000760788,2.93876
0.199815,0.0052515,0.000760788,2.93876
0.200829,0.0052515,0.000760788,2.93876
0.201877,0.0052515,0.000760788,2.93876
0.202818,0.0052515,0.000760788,2.93876
0.203816,0.0052515,0.000760788,2.93876
0.204815,0.0052515,0.000760788,2.93876
0.205816,0.0052515,0.000760788,2.93876
0.206773,0.0052515,0.000760788,2.93876
0.207815,0.0052515,0.000760788,2.93876
0.208913,0.0052515,0.000760788,2.93876
0.209802,0.0052515,0.000760788,2.93876
0.21113,0.00526249,0.000759929,2.93876
