Timestamp,X_Error,Y_Error
0.00603365,0.00232007,0.000483902
0.0068076,0.00232,0.000484877
0.00787289,0.00232005,0.000484261
0.00893306,0.00232002,0.000484747
0.0103218,0.00232006,0.000484212
0.0132085,0.00231992,0.000484695
0.0139795,0.00231996,0.000484173
0.0148999,0.00231994,0.000484697
0.0159207,0.00231994,0.00048455
0.0168905,0.00231998,0.000484098
0.0178613,0.00231995,0.000484676
0.0189252,0.00231999,0.000484168
0.0198267,0.00231996,0.000484695
0.0208602,0.00231999,0.000484178
0.0218234,0.00231995,0.0004847
0.0228739,0.00232,0.000484181
0.0238774,0.00231996,0.000484702
0.0248313,0.00232,0.000484183
0.0258328,0.00231996,0.000484702
0.0268459,0.00232001,0.000484184
0.0278132,0.00231997,0.000484705
0.0289364,0.00232001,0.000484186
0.029846,0.00231998,0.000484706
0.0308703,0.00231999,0.000484192
0.0318605,0.00231995,0.000484712
0.0328752,0.00232,0.000484195
0.0338282,0.00231996,0.000484714
0.0348487,0.00232,0.000484195
0.0360436,0.00231996,0.000484715
0.0370123,0.00232001,0.000484197
0.0378782,0.00231997,0.000484716
0.0388839,0.00232001,0.000484198
0.039922,0.00231998,0.000484718
0.0409197,0.00232002,0.0004842
0.0419048,0.00231998,0.000484719
0.0429183,0.00232003,0.000484201
0.0438992,0.00231999,0.000484721
0.0449966,0.00232003,0.000484203
0.0459179,0.00231999,0.000484722
0.0474041,0.00232004,0.000484204
0.0478841,0.00232005,0.000484006
0.0488363,0.00232006,0.000483931
0.0498465,0.00232001,0.00048462
0.0508587,0.00231994,0.000484133
0.0518484,0.0023199,0.000484677
0.0530447,0.00231994,0.000484168
0.0538403,0.0023199,0.000484691
0.054862,0.00231995,0.000484175
0.0558498,0.0023199,0.000484694
0.0568427,0.00231991,0.000484168
0.0579055,0.00231985,0.000484685
0.0588515,0.00231989,0.000484166
0.0598225,0.00231985,0.000484685
0.0608562,0.00231989,0.000484166
0.0618383,0.00231984,0.000484685
0.0628236,0.0023199,0.000484168
0.0639151,0.00231985,0.000484687
0.0648368,0.0023199,0.000484169
0.06586,0.00231987,0.000484689
0.0668294,0.0023199,0.000484169
0.0678553,0.00231987,0.000484691
0.0688401,0.00231991,0.000484171
0.0698505,0.00231987,0.000484691
