Timestamp,X_hat,Y_hat
0.0057689,-0.0393144,0.00255065,0
0.00637436,-0.0393142,0.00255222,0
0.00743559,-0.0393144,0.00255064,0
0.00870554,-0.0393142,0.00255221,0
0.00942303,-0.0393144,0.00255065,0
0.0103801,-0.0393142,0.00255221,0
0.0113813,-0.0393144,0.00255064,0
0.0124832,-0.0393141,0.00255221,0
0.0133904,-0.0393144,0.00255064,0
0.0144036,-0.0393144,0.00255064,0
0.0153643,-0.0393142,0.00255221,0
0.0164668,-0.0393143,0.00255064,0
0.017491,-0.0393143,0.00255064,0
0.0184194,-0.0393141,0.0025522,0
0.0194537,-0.0393143,0.00255064,0
0.0203842,-0.0393143,0.00255064,0
0.0214508,-0.0393141,0.0025522,0
0.0224105,-0.0393141,0.0025522,0
0.0233861,-0.0393143,0.00255064,0
0.0244616,-0.0393141,0.0025522,0
0.0254048,-0.0393143,0.00255064,0
0.0263877,-0.0393143,0.00255064,0
0.0276084,-0.0393143,0.00255063,0
0.0284107,-0.0393143,0.00255063,0
0.0294639,-0.0393141,0.0025522,0
0.0303466,-0.0393141,0.0025522,0
0.03147,-0.0393143,0.00255063,0
0.0324224,-0.0393143,0.00255063,0
0.0334992,-0.0393141,0.00255219,0
0.0344636,-0.0393143,0.00255063,0
0.0354073,-0.0393141,0.00255219,0
0.0365473,-0.0393143,0.00255063,0
0.0375272,-0.0393141,0.00255219,0
0.0384811,-0.0393143,0.00255063,0
0.0394243,-0.039314,0.00255219,0
0.04044,-0.0393143,0.00255063,0
0.0414987,-0.0393141,0.00255219,0
0.0424469,-0.0393143,0.00255062,0
0.0434084,-0.039314,0.00255219,0
0.0444042,-0.0393142,0.00255062,0
0.0454446,-0.039314,0.00255218,0
0.0464502,-0.0393142,0.00255062,0
0.0474079,-0.039314,0.00255218,0
0.0484596,-0.039314,0.00255218,0
0.0494504,-0.0393142,0.00255062,0
0.0504759,-0.039314,0.00255218,0
0.0515093,-0.0393142,0.00255061,0
0.0524427,-0.039314,0.00255218,0
0.05342,-0.0393142,0.00255062,0
0.0544356,-0.039314,0.00255218,0
0.0554755,-0.0393142,0.00255061,0
0.0564044,-0.039314,0.00255218,0
