Timestamp,q1,q2,q3,q4,q5,q6,q7
0.0121901,2.50761,0.05177,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.012578,2.50761,0.0517699,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.013215,2.50761,0.0517699,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0143554,2.50761,0.0517699,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0155614,2.50761,0.0517698,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0168131,2.50761,0.0517698,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.01902,2.50761,0.0517698,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.020894,2.50761,0.0517697,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0226645,2.50761,0.0517697,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0244007,2.50761,0.0517697,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0250016,2.50761,0.0517696,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0262156,2.50761,0.0517696,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0275713,2.50761,0.0517696,-2.54045,-1.60938,0.0415043,-1.58652,0.0738454
0.0291679,2.50761,0.0517695,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0303326,2.50761,0.0517694,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0317991,2.50761,0.0517694,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0334377,2.50761,0.0517694,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0344886,2.50761,0.0517693,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0363125,2.50761,0.0517693,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0363602,2.50761,0.0517692,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0380901,2.50761,0.0517692,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0387046,2.50761,0.0517692,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0398895,2.50761,0.0517691,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0405631,2.50761,0.0517691,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0416881,2.50761,0.0517691,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0436101,2.50761,0.051769,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0447732,2.50761,0.051769,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0459137,2.50761,0.0517689,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0477486,2.50761,0.0517689,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0484489,2.50761,0.0517688,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0495933,2.50761,0.0517688,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0507534,2.50761,0.0517688,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.051958,2.50761,0.0517687,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0526326,2.50761,0.0517687,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0537144,2.50761,0.0517687,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0548798,2.50761,0.0517686,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0560781,2.50761,0.0517686,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0572527,2.50761,0.0517686,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0578679,2.50761,0.0517685,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0590931,2.50761,0.0517685,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0602641,2.50761,0.0517685,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0613673,2.50761,0.0517684,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.061982,2.50761,0.0517684,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0638373,2.50761,0.0517684,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0644397,2.50761,0.0517683,-2.54045,-1.60938,0.0415042,-1.58652,0.0738454
0.0651572,2.50761,0.0517683,-2.54045,-1.60938,0.0415042,-1.58652,0.0738455
0.0664438,2.50761,0.0517682,-2.54045,-1.60938,0.0415042,-1.58652,0.0738455
0.0675414,2.50761,0.0517682,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0681459,2.50761,0.0517682,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0694867,2.50761,0.0517681,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0706365,2.50761,0.0517681,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0712509,2.50761,0.0517681,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0724305,2.50761,0.051768,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0735696,2.50761,0.051768,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0747296,2.50761,0.051768,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0753596,2.50761,0.0517679,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0765716,2.50761,0.0517679,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0777406,2.50761,0.0517679,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0784006,2.50761,0.0517678,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0795582,2.50761,0.0517678,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0807277,2.50761,0.0517678,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0816024,2.50761,0.0517677,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0827762,2.50761,0.0517677,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0841214,2.50761,0.0517676,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.084749,2.50761,0.0517676,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0857302,2.50761,0.0517676,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0877493,2.50761,0.0517675,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0888351,2.50761,0.0517675,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0912132,2.50761,0.0517674,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0929854,2.50761,0.0517674,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0933209,2.50761,0.0517673,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0939593,2.50761,0.0517673,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0959996,2.50761,0.0517673,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0965161,2.50761,0.0517672,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0978043,2.50761,0.0517672,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.0983342,2.50761,0.0517672,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.099495,2.50761,0.0517671,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.100735,2.50761,0.0517671,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.101914,2.50761,0.051767,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.10261,2.50761,0.051767,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.103759,2.50761,0.051767,-2.54045,-1.60938,0.0415041,-1.58652,0.0738455
0.104883,2.50762,0.0517669,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.106052,2.50762,0.0517669,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.107025,2.50762,0.0517669,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.107806,2.50762,0.0517668,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.109223,2.50762,0.0517668,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.109596,2.50762,0.0517668,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.110839,2.50762,0.0517667,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.111673,2.50762,0.0517667,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.112679,2.50762,0.0517667,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.113843,2.50762,0.0517666,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.11497,2.50762,0.0517666,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.116144,2.50762,0.0517666,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.11731,2.50762,0.0517665,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.117956,2.50762,0.0517665,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.119077,2.50762,0.0517664,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.120945,2.50762,0.0517664,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.12276,2.50762,0.0517663,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.123609,2.50762,0.0517663,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.124923,2.50762,0.0517663,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.125265,2.50762,0.0517662,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.126616,2.50762,0.0517662,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.128641,2.50762,0.0517661,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.130409,2.50762,0.0517661,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.131784,2.50762,0.051766,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.132572,2.50762,0.051766,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.133665,2.50762,0.051766,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.134832,2.50762,0.0517659,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.135545,2.50762,0.0517659,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.136722,2.50762,0.0517658,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.137835,2.50762,0.0517658,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.138688,2.50762,0.0517658,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.139851,2.50762,0.0517657,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.140932,2.50762,0.0517657,-2.54045,-1.60938,0.041504,-1.58652,0.0738455
0.141563,2.50762,0.0517657,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.142877,2.50762,0.0517656,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.14391,2.50762,0.0517656,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.144737,2.50762,0.0517656,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.145737,2.50762,0.0517655,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.146959,2.50762,0.0517655,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.148823,2.50762,0.0517655,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.151697,2.50762,0.0517654,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.15232,2.50762,0.0517654,-2.54045,-1.60938,0.0415039,-1.58652,0.0738455
0.15395,2.50762,0.0517654,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.155269,2.50762,0.0517653,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.157565,2.50762,0.0517653,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.159278,2.50762,0.0517652,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.160558,2.50762,0.0517652,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.162194,2.50762,0.0517652,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.163938,2.50762,0.0517651,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.165105,2.50762,0.0517651,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.166279,2.50762,0.0517651,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.167589,2.50762,0.051765,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.168185,2.50762,0.051765,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.168789,2.50762,0.051765,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.169942,2.50762,0.0517649,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.171085,2.50762,0.0517649,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.172251,2.50762,0.0517649,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.173986,2.50762,0.0517648,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.175169,2.50762,0.0517648,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.176334,2.50762,0.0517647,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.178156,2.50762,0.0517647,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
0.17834,2.50762,0.0517646,-2.54044,-1.60938,0.0415039,-1.58652,0.0738455
