Timestamp,X_hat,Y_hat
0.0125294,-0.0553066,0.00869866,0
0.0125778,-0.0553056,0.00870307,0
0.0130437,-0.0553066,0.00869866,0
0.0140209,-0.0553056,0.00870307,0
0.0149267,-0.0553066,0.00869865,0
0.015933,-0.0553056,0.00870307,0
0.0170636,-0.0688105,0.0112833,0
0.0182923,-0.0746644,0.0120992,0
0.0190382,-0.0779187,0.0128914,0
0.0199601,-0.0809228,0.0137541,0
0.0209559,-0.0836338,0.0144237,0
0.0219929,-0.0870677,0.0153749,0
0.0230099,-0.090049,0.0160995,0
0.0239157,-0.0920497,0.0165668,0
0.0250948,-0.0954953,0.0174111,0
0.0261709,-0.0969779,0.0177186,0
0.0269439,-0.100342,0.0185191,0
0.0280074,-0.101181,0.0186538,0
0.0290401,-0.102862,0.019012,0
0.0299105,-0.10601,0.0197327,0
0.030917,-0.105869,0.0195956,0
0.0321029,-0.108784,0.0214042,0
0.0329346,-0.107564,0.0187193,0
0.033913,-0.112389,0.0209937,0
0.0349523,-0.11118,0.0206707,0
0.0360273,-0.109351,0.0201685,0
0.0369338,-0.109362,0.0200883,0
0.0379742,-0.11133,0.0204678,0
0.0389855,-0.11124,0.0203292,0
0.0399272,-0.108902,0.0197003,0
0.040914,-0.112499,0.021661,0
0.0418789,-0.107306,0.0190075,0
0.0429171,-0.107306,0.0190075,0
0.0439676,-0.107802,0.0190149,0
0.044952,-0.105161,0.0183471,0
0.0459598,-0.106047,0.0184664,0
0.0469522,-0.103499,0.0179067,0
0.0478742,-0.102522,0.01763,0
0.0489215,-0.104961,0.0192117,0
0.0500002,-0.0992021,0.0156601,0
0.0509484,-0.101308,0.017159,0
0.0519193,-0.101308,0.017159,0
0.0529182,-0.0994873,0.0165804,0
0.0539317,-0.0971385,0.0160117,0
0.0549554,-0.0975353,0.0161209,0
0.0559277,-0.0953666,0.0155153,0
0.0570146,-0.0957319,0.0165496,0
0.0579239,-0.0934951,0.0140632,0
0.0589139,-0.0928005,0.0147533,0
0.0599185,-0.0919656,0.0146524,0
