Timestamp,x2,y2,z2,roll2,pitch2,yaw2
0.58744,0.0566894,0.30585,0.74426,1.54458,1.5087,-0.248935
0.600279,0.0566603,0.305819,0.744169,1.53568,1.51,-0.258339
0.610021,0.0566637,0.305909,0.744338,1.56548,1.51063,-0.227878
0.642398,0.0566613,0.305875,0.744171,1.5735,1.51022,-0.219779
0.654057,0.0566434,0.305862,0.744038,1.58412,1.50985,-0.209348
0.672125,0.0566432,0.305945,0.744182,1.56592,1.50929,-0.227685
0.70228,0.0566437,0.305981,0.744188,1.55596,1.51063,-0.23748
0.735628,0.0566404,0.305994,0.744154,1.58705,1.50887,-0.206116
0.771017,0.0566324,0.30598,0.744042,1.52957,1.51063,-0.26369
0.806025,0.0566355,0.305968,0.743983,1.53203,1.51081,-0.261346
0.838325,0.0566376,0.305955,0.743932,1.54897,1.51069,-0.244271
0.869717,0.0566489,0.305969,0.743934,1.57575,1.5121,-0.217303
0.903688,0.0566516,0.305988,0.743927,1.57714,1.51241,-0.215975
0.935757,0.0566305,0.305922,0.743763,1.55682,1.51285,-0.236539
0.970533,0.0566322,0.305948,0.743822,1.55185,1.51271,-0.24159
1.00236,0.05663,0.305926,0.743776,1.55694,1.51279,-0.236406
1.03297,0.056617,0.305891,0.743765,1.5324,1.51081,-0.261226
1.05693,0.0566052,0.305873,0.74374,1.51292,1.51079,-0.280609
1.09683,0.0566045,0.305859,0.743735,1.55177,1.51008,-0.241616
1.13209,0.0565985,0.305837,0.743725,1.56436,1.51036,-0.22901
1.16531,0.0565724,0.305766,0.743627,1.55966,1.5114,-0.233957
1.19809,0.056564,0.305747,0.743673,1.54826,1.51125,-0.245658
1.23314,0.0565704,0.305803,0.74387,1.57769,1.51049,-0.215675
1.26388,0.0565812,0.30587,0.74412,1.55773,1.5099,-0.235132
1.29694,0.0565694,0.305841,0.74411,1.5582,1.51024,-0.234927
1.32966,0.056552,0.305812,0.744087,1.54013,1.5102,-0.253135
1.36393,0.0565555,0.30582,0.744138,1.54848,1.50996,-0.24467
1.39788,0.0565431,0.305756,0.744033,1.54799,1.51086,-0.24518
1.43222,0.0565395,0.305718,0.743989,1.526,1.51056,-0.26754
1.46349,0.0565408,0.305737,0.744061,1.51945,1.51009,-0.274338
1.49602,0.0565579,0.305782,0.744138,1.57483,1.50898,-0.218186
1.53028,0.0565585,0.30575,0.744093,1.56763,1.50852,-0.225546
1.56281,0.0565665,0.305761,0.744122,1.56701,1.50845,-0.22616
1.59557,0.0565785,0.30577,0.744111,1.58653,1.50915,-0.206511
1.6265,0.0565888,0.305735,0.743992,1.58497,1.51031,-0.20814
1.65987,0.0565975,0.305775,0.744041,1.52064,1.50967,-0.272925
1.69261,0.0566102,0.305776,0.744047,1.56176,1.51076,-0.231491
1.72583,0.0566227,0.305799,0.744021,1.56261,1.51044,-0.230213
1.76184,0.0565995,0.305746,0.743767,1.57709,1.51076,-0.216697
1.79131,0.0566111,0.305798,0.743848,1.54138,1.51081,-0.252485
1.82464,0.0566247,0.305838,0.743829,1.53234,1.51093,-0.261423
1.85737,0.0566345,0.305827,0.7437,1.56852,1.51047,-0.224805
1.89063,0.0566299,0.305871,0.743747,1.50815,1.50992,-0.285685
1.92384,0.0566311,0.30586,0.743667,1.52542,1.51121,-0.268305
1.95692,0.0566531,0.305894,0.743646,1.56013,1.51242,-0.233294
1.98928,0.0566475,0.305965,0.743864,1.52325,1.5094,-0.270938
2.02293,0.0566407,0.30596,0.743752,1.52386,1.51085,-0.270207
2.05587,0.0566438,0.306036,0.743844,1.53824,1.50913,-0.25529
2.0892,0.0566327,0.305973,0.743669,1.4933,1.51015,-0.300574
2.12245,0.0566464,0.306006,0.743725,1.54083,1.50968,-0.252867
